short_window,long_window,total_return,cagr,mdd,sharpe,win_rate,total_trades,profit_factor
39,115,-95.11846361266757,-35.61561553301367,-96.59915046997367,-0.2663432084020445,45.646196150320804,1091,0.9273819484354375
39,120,-92.59017820539577,-31.57599397947608,-94.52345397728831,-0.17972790033393835,45.76744186046512,1075,0.9500626059685626
40,45,-93.13278737081495,-32.33051916195735,-93.94876874690058,-0.30121747908272317,45.674418604651166,1075,0.9228194936831237
40,50,-88.19436928154579,-26.767674463506463,-88.51422214344437,-0.14903577120343914,45.85274930102516,1073,0.9606301785910086
40,55,-79.95429341728504,-20.890459074415947,-80.67318113479622,0.014455548466977702,46.11829944547135,1082,1.0041162153222443
40,60,-73.40342743497783,-17.560611555721916,-80.32830946316939,0.08771206460321337,46.34597594819611,1081,1.0258745943999648
40,65,-82.70784155237737,-22.576638182596998,-84.34264277036053,0.008610285587249841,46.550137994480224,1087,1.0024744423310636
40,70,-69.93983208735955,-16.07588497815128,-84.55205280799953,0.12634323376175646,47.56317689530686,1108,1.0363298129939336
40,75,-79.31768874212291,-20.529012990845697,-85.28197019541973,0.05223959330198988,47.127468581687616,1114,1.014804908408418
40,80,-85.04706620835897,-24.200176885636935,-86.85105791003099,-0.012286747634769671,46.79715302491103,1124,0.9965425939474485
40,85,-88.83708185087981,-27.36298112257608,-91.79485583322246,-0.08384212749683319,46.20141342756184,1132,0.976943281593287
40,90,-91.04449445312781,-29.659418745358735,-93.1558057276902,-0.12485057785036525,45.8477508650519,1156,0.9663155978772544
40,95,-92.2917241564131,-31.18089253806633,-93.28637326609193,-0.15415617559649863,45.96704249783174,1153,0.9585293716701108
40,100,-90.71116051232356,-29.28360242526844,-93.82661354314757,-0.13406695563941978,46.012269938650306,1141,0.9637474094015546
40,105,-92.3175214950448,-31.21452284215025,-93.9547535893825,-0.1762295818466674,45.729537366548044,1124,0.9520680321589401
40,110,-95.80738853973662,-37.02811275574839,-96.45189372409729,-0.2926980623196006,45.52036199095023,1105,0.9207954901136486
40,115,-95.31782667132258,-36.00587612872451,-96.44412191948928,-0.27451753369641013,45.57077625570776,1095,0.9253733008809463
40,120,-93.94372045838212,-33.559114331677044,-95.4558466130459,-0.2211154794604785,45.7089552238806,1072,0.9388875496672642
41,45,-87.74098760388846,-26.36417313829328,-90.03764404838563,-0.15874545950459323,45.817843866171,1076,0.9584588616122168
41,50,-81.75278817625558,-21.96736756281119,-82.24716438221049,-0.012134903039774301,45.65826330532213,1071,0.9965529226395534
41,55,-84.55175085504494,-23.839147433114615,-85.15935968159118,-0.041709746215253383,46.02587800369686,1082,0.9882063790434643
41,60,-78.63705657417034,-20.152933106728966,-82.62608029019275,0.044778712598095176,46.25346901017576,1081,1.0131370912424227
41,65,-80.46335389628878,-21.18661395456233,-83.65412189273846,0.03172193013962911,46.72811059907834,1085,1.0091649941152843
41,70,-68.7104167296023,-15.583944005823646,-84.70628069912478,0.13313831228972575,47.511312217194565,1105,1.0384728370609762
41,75,-80.33953550137673,-21.113979097905066,-84.20780783928492,0.04225967533853978,47.090420769919426,1117,1.0119451282846794
41,80,-84.77600438218688,-24.00135938225233,-87.4993373358875,-0.008504686833093982,46.802841918294845,1126,0.9976100449714526
41,85,-88.89157125334182,-27.41478735520956,-91.00816644677882,-0.08483240651706181,46.235606731620905,1129,0.9766448741079636
41,90,-92.05747552127758,-30.879839736949457,-93.28373443551739,-0.14992532501093206,45.818815331010455,1148,0.9595182716022491
41,95,-92.05100522515124,-30.871632409283244,-92.89035521347373,-0.1472814256525092,45.96704249783174,1153,0.9604104838654158
41,100,-93.11502661294556,-32.305028734638384,-94.21995291895186,-0.1938878416367674,45.83698510078878,1141,0.9480272216685065
41,105,-90.58552490128153,-29.14494000738268,-94.14174041083314,-0.1356165952060061,45.84070796460177,1130,0.9629460860742068
41,110,-94.75844215718323,-34.944115075557946,-96.27392432109436,-0.2565119241287125,45.73502722323049,1102,0.9300809426015003
41,115,-95.22079104445326,-35.81418850566605,-96.37042818062235,-0.2672704394511321,45.670009115770284,1097,0.9273449845813218
41,120,-92.31921129438192,-31.216729087627005,-94.42904525037889,-0.17458093372349504,45.88014981273408,1068,0.9513191588950052
42,45,-87.29358734387372,-25.978303283020153,-90.00217460405074,-0.15267188038033563,45.615671641791046,1072,0.9598321525150344
