Symbol,Short Window,Long Window,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades
BTC,2,35,9864.737078456783,79.79525963045265,-35.704063896816145,1.6930582753044803,51.790281329923275,1564
ETH,2,20,12904.678662020831,103.3543413166345,-49.695335224887955,1.5972708363681658,50.077399380804955,1292
ADA,1,20,24426.42568934721,123.06360065377939,-61.02195620084525,1.5124783707671259,46.2457337883959,1172
XRP,2,10,2184.8259910379525,57.809149049205864,-55.429852239615954,0.9633635270182735,41.900826446280995,1210
