short_window,long_window,total_return,cagr,mdd,sharpe,win_rate,total_trades,profit_factor
4,45,3404.910291662794,57.37150107271778,-55.14483192419526,1.353552358920428,52.10526315789473,1520,1.3484072724608094
4,50,2724.667358799038,53.101462911956986,-52.6100536570968,1.2755611326788916,51.79153094462541,1535,1.323745780990539
4,55,3087.3640979920415,55.477611535072,-56.88929955359045,1.3211632622738714,52.018229166666664,1536,1.3385792206049842
4,60,3176.107135756839,56.02289166215429,-55.180894722938135,1.3269085714961504,52.461139896373055,1544,1.339246038278109
4,65,2996.2140548996176,54.903573311038365,-47.13086930139509,1.3101450154064218,52.53042921204356,1561,1.3316250471463353
4,70,3300.6370825761032,56.766726543493974,-49.717877283385334,1.3400230999387008,52.67857142857143,1568,1.3394123323291014
4,75,2764.9569627813394,53.37814671248644,-55.663622325311756,1.2775855658278779,52.40811153358682,1578,1.3200068181206135
4,80,3217.387741013487,56.272159740900584,-53.08258284639267,1.3227419415316162,52.49841872232764,1581,1.3333007937615458
4,85,2983.5494978062493,54.822652109275836,-54.74182949385607,1.3026805950457745,52.35700817096166,1591,1.3250084232176766
4,90,2665.495408397298,52.68879886093172,-54.95584187302437,1.2716806911093232,51.99501246882793,1604,1.3158327002550048
4,95,2522.7241337460205,51.66046668139215,-57.05507404048754,1.2527505462707902,51.90651906519065,1626,1.309372793089769
4,100,3778.5515120237037,59.41697915394555,-47.35015993771612,1.3885066676922069,52.103960396039604,1616,1.3473327154337162
4,105,3608.245684163257,58.50699947443741,-44.92958625929002,1.3758602416611598,52.117061021170606,1606,1.344916458851708
4,110,3768.6254215448143,59.36490835698549,-39.0527994209898,1.3889589344827675,52.09244222361025,1601,1.349111166241391
4,115,4230.750485108781,61.67407403271825,-38.088556829890535,1.4284488279647531,52.095059412132585,1599,1.361170077236202
4,120,4271.477121793901,61.86711362924764,-39.437193924034695,1.4303741979162063,52.327044025157235,1590,1.3627315050921665
5,10,1332.187939745023,40.40250962939442,-60.0003429009062,1.0537822688474108,47.539975399754,1626,1.2613238950312824
5,15,2144.6829152034566,48.680693235389704,-58.817123395035594,1.1999419170288594,49.12935323383085,1608,1.3008862660240086
5,20,2601.675990883602,52.23499679495522,-61.07058786327754,1.2586642792427263,50.40247678018576,1615,1.312210524936207
5,25,2726.466378954567,53.11389067656758,-66.32289041348174,1.26738824808339,50.53968253968254,1575,1.3173962689341245
5,30,2334.7362978421174,50.22924126818762,-55.4903896446372,1.2236420357485132,50.801796023091725,1559,1.305372255324457
5,35,3532.4380149886806,58.09016422346907,-50.62701153988428,1.354582317265222,52.103559870550164,1545,1.3437400455641173
5,40,2861.8249483462614,54.029732288699165,-52.45301938164979,1.2944183755112761,52.03412073490814,1524,1.3296434464108537
5,45,4061.1667596325638,60.85284029562252,-51.98626797065198,1.4099375418664852,52.179656538969624,1514,1.366866367216267
5,50,2961.340182062724,54.680041124378874,-50.73046545987317,1.3082838693322913,51.997380484610346,1527,1.3336933132624147
5,55,3414.3729896956406,57.42560375515859,-51.490092101722986,1.360995766965331,52.26229508196722,1525,1.350885289446581
5,60,3048.5441478395373,55.23490817358883,-47.600441002239805,1.3187923344138326,52.56994144437215,1537,1.337233635335296
5,65,3192.5404824382235,56.12244902848704,-46.25472265008071,1.3336616837364201,52.509652509652504,1554,1.3392874971629893
5,70,3567.1141576437785,58.28176678963099,-51.6789843924946,1.3632792390263988,52.74936061381074,1564,1.3463859813339039
5,75,3197.8454165265375,56.15449509710923,-51.893922042793974,1.3266918914022472,52.67175572519084,1572,1.3350566740642171
5,80,3092.513375115837,55.50961095928795,-50.7120694995442,1.3117837650970112,52.51432208784214,1571,1.3309066615756298
5,85,2412.2092222030083,50.83036772844882,-51.58742084369745,1.2384282284283357,52.11090107120353,1587,1.3069957655855264
5,90,2726.1374275929065,53.111618771886214,-54.38743207484414,1.2779895732534219,52.0625,1600,1.318075516824516
5,95,3084.556609010778,55.46014580333028,-56.80048880988047,1.311346828636543,52.27272727272727,1628,1.3248221907967794
5,100,1766.5173607287365,45.224519346125746,-55.46410148724122,1.1149958552735646,51.940850277264325,1623,1.280498643894735
5,105,2036.0601994975618,47.74347730601281,-54.810610630006664,1.162004282476415,52.054794520547944,1606,1.2959013413767644
5,110,2015.9625810335517,47.56552874253863,-54.77460240741574,1.1561799012229528,52.095059412132585,1599,1.2942586351430476
5,115,2620.8637866437516,52.37241054197885,-54.88400754989207,1.2425318213871628,52.160300563556675,1597,1.3190378582056628
5,120,2636.3319607940775,52.48257197097668,-50.87358017092243,1.237499561770027,52.51889168765743,1588,1.3197116877637085
6,10,1424.6618224791941,41.526946913160344,-57.85839566212393,1.069120057246364,47.48332322619769,1649,1.264566076033938
6,15,2133.712693923801,48.58785895970643,-58.777760593251706,1.1970484611143088,49.224084419615146,1611,1.2993244400467898
6,20,2477.204125775078,51.32232442100009,-63.66035536208329,1.2451418225735538,50.621118012422365,1610,1.3087282564989045
