timestamp,Close,signal,returns,cumulative
2018-01-01,18860000.0,0,0.0,1.0
2018-01-02,20263000.0,0,0.0,1.0
2018-01-03,20900000.0,0,0.0,1.0
2018-01-04,23402000.0,0,0.0,1.0
2018-01-05,27444000.0,0,0.0,1.0
2018-01-06,26924000.0,0,0.0,1.0
2018-01-07,25859000.0,0,0.0,1.0
2018-01-08,25230000.0,0,0.0,1.0
2018-01-09,24016000.0,0,0.0,1.0
2018-01-10,21317000.0,0,0.0,1.0
2018-01-11,19389000.0,0,0.0,1.0
2018-01-12,20745000.0,0,0.0,1.0
2018-01-13,21135000.0,0,0.0,1.0
2018-01-14,19206000.0,0,0.0,1.0
2018-01-15,19106000.0,0,0.0,1.0
2018-01-16,14279000.0,0,0.0,1.0
2018-01-17,14951000.0,0,0.0,1.0
2018-01-18,14880000.0,1,-0.003,0.997
2018-01-19,15372000.0,1,0.03306451612903216,1.029965322580645
2018-01-20,16858000.0,1,0.09666926880041626,1.1295313172043009
2018-01-21,14640000.0,0,-0.1345695812077352,0.9775307608870966
2018-01-22,13944000.0,0,0.0,0.9775307608870966
2018-01-23,13141000.0,0,0.0,0.9775307608870966
2018-01-24,13450000.0,1,-0.003,0.9745981686044353
2018-01-25,12973000.0,0,-0.03846468401486991,0.9371105580075948
2018-01-26,12876000.0,0,0.0,0.9371105580075948
2018-01-27,12900000.0,1,-0.003,0.934299226333572
2018-01-28,13352000.0,1,0.03503875968992243,0.9670359124035545
2018-01-29,12909000.0,1,-0.033178550029958065,0.934951063003107
2018-01-30,11627000.0,0,-0.10231055852505999,0.8392956975536606
2018-01-31,11429000.0,1,-0.003,0.8367778104609996
2018-02-01,10070000.0,0,-0.12190804094846441,0.7347678668785537
2018-02-02,9410000.0,1,-0.003,0.732563563277918
2018-02-03,9520000.0,1,0.011689691817215797,0.7411270055691583
2018-02-04,8900000.0,0,-0.06812605042016806,0.6906369498200057
2018-02-05,7832000.0,0,0.0,0.6906369498200057
2018-02-06,8642000.0,1,-0.003,0.6885650389705457
2018-02-07,8387000.0,1,-0.029507058551261234,0.6682475100492903
2018-02-08,9480000.0,1,0.13032073447001302,0.7553340163666712
2018-02-09,9929000.0,1,0.04736286919831234,0.7911088025848817
