Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
Adaptive SMA (Quarterly Rebalance),4389.848704089354,62.419405505225136,-53.80119734719335,1.4856935548285806,50.846310088016246,1477,1.4070837644794474
SMA 10,3134.119466397474,55.766526765983905,-56.47444765899308,1.3256664072581614,45.75087310826543,1718,1.3311987635894547
SMA 20,5108.313070958798,65.52226023445664,-55.58628529439164,1.479907784819197,48.66989117291415,1654,1.375655332579866
SMA 30,8858.650358837076,77.37212820280881,-38.091226700929006,1.6593759375524948,51.12923462986198,1594,1.4338383478970282
SMA 40,7732.193628683394,74.35939220088595,-50.245529281634404,1.622183809137134,51.863753213367616,1556,1.4271720327677702
SMA 50,5294.055517851169,66.2633573663894,-53.920797892423685,1.5120976801044024,51.48387096774194,1550,1.3926344567321614
SMA 60,4860.825576956224,64.49811908004412,-55.34638418690769,1.4673221488614732,51.47705845380264,1591,1.3768202271216978
