Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor,Strategy,Type,Parameters,Score
8579.461207144017,91.71164609052624,-37.69290358775144,1.7338045207110044,49.889135254988915,1804,1.415651829691249,BB_20_1.5,Bollinger_Band,"period=20, std_dev=1.5",61.96220573715976
8579.461207144017,91.71164609052624,-37.69290358775144,1.7338045207110044,49.889135254988915,1804,1.415651829691249,BB_20_2.0,Bollinger_Band,"period=20, std_dev=2.0",61.96220573715976
8579.461207144017,91.71164609052624,-37.69290358775144,1.7338045207110044,49.889135254988915,1804,1.415651829691249,BB_20_2.5,Bollinger_Band,"period=20, std_dev=2.5",61.96220573715976
5981.234089808993,82.02077057461392,-46.94661549877836,1.5919362891838402,49.863163656267105,1827,1.3800416853652453,SMA_20,SMA,period=20,55.58020750150371
5942.428727529702,81.85095006359168,-40.696877681861,1.601734508364357,51.12912565141865,1727,1.3830940234993554,BB_30_1.5,Bollinger_Band,"period=30, std_dev=1.5",55.51750807161244
