Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades
00_BENCHMARK_SMA30,8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,51.16133082234777,1593
01_SMA30_MACD,6410.264721433325,70.29821248007886,-31.738201559297764,1.752900218365906,50.0,1118
02_Triple_Confirmation,5662.1884470188215,67.66864571083337,-34.73958336067181,1.7213227140661416,49.49587534372136,1091
03_SMA30_RSI,7834.593503528818,74.64836895714377,-40.35839340083495,1.6899931896049292,50.209497206703915,1432
04_SMA25_MACD,4748.402645471458,64.01809703360163,-48.7707090977456,1.6059908863482204,48.94869638351556,1189
05_SMA35_MACD,5163.0239972957215,65.74291697543715,-37.534782169031224,1.68179117385027,49.90654205607476,1070
06_EMA30_MACD,4231.086120224715,61.6756713659518,-41.76945588520789,1.571918334306838,49.396471680594246,1077
07_SMA30_MACD_Hist,6410.264721433325,70.29821248007886,-31.738201559297764,1.752900218365906,50.0,1118
08_SMA30_RSI55,5723.126574284537,67.89366718924703,-36.32269073304767,1.6272722721483894,50.23255813953489,1290
09_SMA30_RSI45,9422.469357498065,78.75766457409354,-40.45939289177164,1.7056149407117693,50.61808718282368,1537
10_SMA30_Volume,509.96835930614185,25.926288353355396,-38.49445553382254,0.9694448909408447,38.31672203765227,903
11_DualSMA_MACD,1967.6886545344883,47.131999690867566,-33.40705859248711,1.4964386339672455,49.44134078212291,716
12_Close_DualSMA_MACD,2254.56036567854,49.58930564370279,-31.20275255077552,1.563912939479351,49.50354609929078,705
13_SMA30_MACD_RSI45,5818.726144695885,68.2425741955899,-34.85009797009851,1.725010585610045,49.64028776978417,1112
14_EMA_Ribbon_MACD,5189.7139175800285,65.84983567397123,-36.51711537766693,1.6739807657908976,49.047619047619044,1050
