Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Total Trades
0_BENCHMARK_Daily_SMA30,8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,1593
Weekly_Donchian20+Daily_SMA30,417.04257902364,23.300621329280325,-37.05428945607729,0.989104520896515,78
Weekly_EMA20+Daily_SMA30,4927.013174849475,64.77630487421699,-36.42545588292222,1.651495402699241,106
Weekly_SMA10+Daily_SMA30,4719.3333556622565,63.892398028043694,-33.103426664748234,1.5917906855016768,108
Weekly_SMA20+Daily_SMA30,3966.4854350023297,60.38154307012027,-32.60477348592893,1.5673226550654453,108
Weekly_SMA50+Daily_SMA30,4506.76235627511,62.95256219052001,-32.92162359161005,1.6305443194534253,118
