timestamp,Open,High,Low,Close,Volume,support,resistance,support_upper,support_lower,resistance_upper,resistance_lower,signal,buy_signal,sell_signal,trade_price,daily_return,portfolio_value,cumulative_return,buy_hold_return
2018-01-01,19278000.0,19420000.0,18290000.0,18860000.0,27949.67613401,18290000.0,19420000.0,18655800.0,17924200.0,19808400.0,19031600.0,0,False,False,18860000.0,0.0,1.0,1.0,1.0
2018-01-02,18875000.0,21720000.0,18510000.0,20263000.0,41968.47300909,18290000.0,21720000.0,18655800.0,17924200.0,22154400.0,21285600.0,0,False,False,20263000.0,0.0,1.0,1.0,1.074390243902439
2018-01-03,20263000.0,21329000.0,19520000.0,20900000.0,43168.2576045,18290000.0,21720000.0,18655800.0,17924200.0,22154400.0,21285600.0,0,False,False,20900000.0,0.0,1.0,1.0,1.1081654294803818
2018-01-04,20899000.0,23685000.0,19700000.0,23402000.0,45192.45174241,18290000.0,23685000.0,18655800.0,17924200.0,24158700.0,23211300.0,0,False,False,23402000.0,0.0,1.0,1.0,1.2408271474019088
2018-01-05,23403000.0,28589000.0,22338000.0,27444000.0,56774.8498417,18290000.0,28589000.0,18655800.0,17924200.0,29160780.0,28017220.0,0,False,False,27444000.0,0.0,1.0,1.0,1.4551431601272535
2018-01-06,27451000.0,28885000.0,23966000.0,26924000.0,48971.92813081,18290000.0,28885000.0,18655800.0,17924200.0,29462700.0,28307300.0,0,False,False,26924000.0,0.0,1.0,1.0,1.4275715800636268
2018-01-07,26924000.0,27210000.0,24543000.0,25859000.0,31015.72258622,18290000.0,28885000.0,18655800.0,17924200.0,29462700.0,28307300.0,0,False,False,25859000.0,0.0,1.0,1.0,1.371102863202545
2018-01-08,25859000.0,26449000.0,23850000.0,25230000.0,44839.78332164,18290000.0,28885000.0,18655800.0,17924200.0,29462700.0,28307300.0,0,False,False,25230000.0,0.0,1.0,1.0,1.3377518557794275
2018-01-09,25200000.0,25786000.0,22858000.0,24016000.0,41558.52968619,18290000.0,28885000.0,18655800.0,17924200.0,29462700.0,28307300.0,0,False,False,24016000.0,0.0,1.0,1.0,1.2733828207847295
2018-01-10,24015000.0,24200000.0,19689000.0,21317000.0,43736.28693252,18290000.0,28885000.0,18655800.0,17924200.0,29462700.0,28307300.0,0,False,False,21317000.0,0.0,1.0,1.0,1.1302757158006362
2018-01-11,21300000.0,21890000.0,14104000.0,19389000.0,61924.52562032,14104000.0,28885000.0,14386080.0,13821920.0,29462700.0,28307300.0,0,False,False,19389000.0,0.0,1.0,1.0,1.028048780487805
2018-01-12,19359000.0,21143000.0,18005000.0,20745000.0,43734.14210793,14104000.0,28885000.0,14386080.0,13821920.0,29462700.0,28307300.0,0,False,False,20745000.0,0.0,1.0,1.0,1.099946977730647
2018-01-13,20750000.0,21399000.0,19886000.0,21135000.0,30172.38452901,14104000.0,28885000.0,14386080.0,13821920.0,29462700.0,28307300.0,0,False,False,21135000.0,0.0,1.0,1.0,1.1206256627783668
2018-01-14,21130000.0,21299000.0,18131000.0,19206000.0,30105.53009772,14104000.0,28885000.0,14386080.0,13821920.0,29462700.0,28307300.0,0,False,False,19206000.0,0.0,1.0,1.0,1.0183457051961824
2018-01-15,19210000.0,20143000.0,18201000.0,19106000.0,29582.95249892,14104000.0,28885000.0,14386080.0,13821920.0,29462700.0,28307300.0,0,False,False,19106000.0,0.0,1.0,1.0,1.0130434782608695
2018-01-16,19107000.0,19219000.0,11543000.0,14279000.0,59293.11406178,11543000.0,28885000.0,11773860.0,11312140.0,29462700.0,28307300.0,0,False,False,14279000.0,0.0,1.0,1.0,0.7571049840933192
2018-01-17,14279000.0,15722000.0,11901000.0,14951000.0,60203.17701055,11543000.0,28885000.0,11773860.0,11312140.0,29462700.0,28307300.0,0,False,False,14951000.0,0.0,1.0,1.0,0.7927359490986214
2018-01-18,14954000.0,16370000.0,13650000.0,14880000.0,44001.92022842,11543000.0,28885000.0,11773860.0,11312140.0,29462700.0,28307300.0,0,False,False,14880000.0,0.0,1.0,1.0,0.7889713679745494
2018-01-19,14879000.0,15448000.0,14352000.0,15372000.0,27555.99477285,11543000.0,28885000.0,11773860.0,11312140.0,29462700.0,28307300.0,0,False,False,15372000.0,0.0,1.0,1.0,0.8150583244962885
2018-01-20,15370000.0,17208000.0,15225000.0,16858000.0,51147.45641776,11543000.0,28885000.0,11773860.0,11312140.0,29462700.0,28307300.0,0,False,False,16858000.0,0.0,1.0,1.0,0.8938494167550372
2018-01-21,16852000.0,16943000.0,13735000.0,14640000.0,44140.37058853,11543000.0,28885000.0,11773860.0,11312140.0,29462700.0,28307300.0,0,False,False,14640000.0,0.0,1.0,1.0,0.7762460233297985
