Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (%),Total Trades,Profit Factor,Max Consecutive Losses
"RSI(5, 70)",6794.225538243599,71.54688468922782,-20.870469690399215,1.9056544832542874,1.9696119876565557,3.4281396514109432,44.30523917995444,878,1.8532067816193931,8
"RSI(17, 55)",11651.075949774464,83.6148503271833,-32.79985704859435,1.8511727857758198,1.9503156856600918,2.549244351989231,52.17729393468118,1286,1.580874376454669,7
SMA(30),8914.726499342867,77.51328557634135,-37.892156393850385,1.6674813605487755,1.8953287889289794,2.045628777910385,50.87829360100377,1594,1.4369087060106964,7
Buy & Hold,699.8780487804881,30.35380482731449,-86.81314677160765,0.7477862287644813,0.9663605224621061,0.3496452548502912,51.46853146853147,2860,1.1307107155294625,9
