timestamp,Open,High,Low,Close,Volume,ma,std,upper_band,lower_band,position,returns,buy_price,cumulative
2018-01-01,19278000.0,19420000.0,18290000.0,18860000.0,27949.67613401,,,,,0,0.0,,1.0
2018-01-02,18875000.0,21720000.0,18510000.0,20263000.0,41968.47300909,,,,,0,0.0,,1.0
2018-01-03,20263000.0,21329000.0,19520000.0,20900000.0,43168.2576045,,,,,0,0.0,,1.0
2018-01-04,20899000.0,23685000.0,19700000.0,23402000.0,45192.45174241,,,,,0,0.0,,1.0
2018-01-05,23403000.0,28589000.0,22338000.0,27444000.0,56774.8498417,,,,,0,0.0,,1.0
2018-01-06,27451000.0,28885000.0,23966000.0,26924000.0,48971.92813081,,,,,0,0.0,,1.0
2018-01-07,26924000.0,27210000.0,24543000.0,25859000.0,31015.72258622,,,,,0,0.0,,1.0
2018-01-08,25859000.0,26449000.0,23850000.0,25230000.0,44839.78332164,,,,,0,0.0,,1.0
2018-01-09,25200000.0,25786000.0,22858000.0,24016000.0,41558.52968619,,,,,0,0.0,,1.0
2018-01-10,24015000.0,24200000.0,19689000.0,21317000.0,43736.28693252,,,,,0,0.0,,1.0
2018-01-11,21300000.0,21890000.0,14104000.0,19389000.0,61924.52562032,,,,,0,0.0,,1.0
2018-01-12,19359000.0,21143000.0,18005000.0,20745000.0,43734.14210793,,,,,0,0.0,,1.0
2018-01-13,20750000.0,21399000.0,19886000.0,21135000.0,30172.38452901,,,,,0,0.0,,1.0
2018-01-14,21130000.0,21299000.0,18131000.0,19206000.0,30105.53009772,,,,,0,0.0,,1.0
2018-01-15,19210000.0,20143000.0,18201000.0,19106000.0,29582.95249892,,,,,0,0.0,,1.0
2018-01-16,19107000.0,19219000.0,11543000.0,14279000.0,59293.11406178,,,,,0,0.0,,1.0
2018-01-17,14279000.0,15722000.0,11901000.0,14951000.0,60203.17701055,,,,,0,0.0,,1.0
2018-01-18,14954000.0,16370000.0,13650000.0,14880000.0,44001.92022842,,,,,0,0.0,,1.0
2018-01-19,14879000.0,15448000.0,14352000.0,15372000.0,27555.99477285,,,,,0,0.0,,1.0
2018-01-20,15370000.0,17208000.0,15225000.0,16858000.0,51147.45641776,20506800.0,4045057.5378121026,,,0,0.0,,1.0
2018-01-21,16852000.0,16943000.0,13735000.0,14640000.0,44140.37058853,20295800.0,4240806.100135604,28596915.075624205,12416684.924375795,0,0.0,,1.0
2018-01-22,14640000.0,14910000.0,12981000.0,13944000.0,30529.67525826,19979850.0,4472442.465576803,28777412.200271208,11814187.799728792,0,0.0,,1.0
2018-01-23,13968000.0,14044000.0,12311000.0,13141000.0,28032.38238629,19591900.0,4718190.887684765,28924734.931153607,11034965.068846393,0,0.0,,1.0
2018-01-24,13139000.0,13780000.0,12600000.0,13450000.0,24236.06233141,19094300.0,4818927.256689305,29028281.775369532,10155518.22463047,0,0.0,,1.0
2018-01-25,13450000.0,13900000.0,12800000.0,12973000.0,18943.75635587,18370750.0,4579711.9522727,28732154.513378613,9456445.48662139,0,0.0,,1.0
2018-01-26,12973000.0,13350000.0,11500000.0,12876000.0,30279.96147663,17668350.0,4265333.617790357,27530173.9045454,9211326.0954546,0,0.0,,1.0
2018-01-27,12876000.0,13132000.0,12300000.0,12900000.0,18535.39984957,17020400.0,3926441.9195205667,26199017.235580713,9137682.764419286,0,0.0,,1.0
2018-01-28,12903000.0,13570000.0,12810000.0,13352000.0,20508.73672486,16426500.0,3493808.501063729,24873283.839041132,9167516.160958868,0,0.0,,1.0
2018-01-29,13351000.0,13489000.0,12560000.0,12909000.0,15844.07278917,15871150.0,3082474.0793719436,23414117.002127457,9438882.997872543,0,0.0,,1.0
2018-01-30,12909000.0,12957000.0,11310000.0,11627000.0,21206.17024434,15386650.0,2939674.208139383,22036098.15874389,9706201.841256112,0,0.0,,1.0
2018-01-31,11658000.0,11900000.0,10400000.0,11429000.0,23175.02109439,14988650.0,2907957.4360708753,21265998.416278765,9507301.583721235,0,0.0,,1.0
