Date,Selected_SMA
2019-01-01,18
2019-04-01,20
2019-07-01,41
2019-10-01,60
2020-01-01,22
2020-04-01,23
2020-07-01,23
2020-10-01,29
2021-01-01,29
2021-04-01,57
2021-07-01,37
2021-10-01,45
2022-01-01,45
2022-04-01,35
2022-07-01,29
2022-10-01,31
2023-01-01,31
2023-04-01,31
2023-07-01,11
2023-10-01,11
2024-01-01,60
2024-04-01,58
2024-07-01,36
2024-10-01,39
2025-01-01,39
2025-04-01,42
2025-07-01,42
2025-10-01,59
