Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Improvement (%)
0_BENCHMARK_Daily_SMA30,8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,51.16133082234777,1593,0.0
1_Weekly_Donchian+Daily_SMA30,5591.892091016335,67.40647406270269,-10.85145560412805,2.450502679731339,56.35451505016722,598,47.702116582581745
2_Weekly_SMA10+Daily_SMA30,30869.98794934723,107.76021124329125,-27.201920974266642,2.21845396094581,54.24492862509391,1331,33.71556304873431
3_Weekly_EMA20+Daily_SMA30,21606.39942469029,98.55661468159693,-31.90613869536831,2.162106202946647,54.10107705053853,1207,30.319246370528564
4_Weekly_SMA20+Daily_SMA30,15001.192824806847,89.58126362854775,-31.90613869536828,2.0414928738566536,53.62318840579711,1173,23.04937307391308
5_Weekly_EMA20+Daily_EMA30,13991.19920446495,87.91555743213254,-40.310348356083765,1.9413517622996117,53.078721745908034,1283,17.01344654494101
