SMA_Period,Total_Return_Pct,CAGR_Pct,MDD_Pct,Sharpe_Ratio,Win_Rate_Pct,Total_Trades,Profit_Factor,Final_Value
5,260.62991519145646,17.765500377825227,-65.98829813432049,0.6095397401516671,41.06175514626219,1846,1.1394957218971236,3.6062991519145644
6,705.4943469646245,30.470134138672478,-63.44901109125763,0.8627287592334701,42.362637362637365,1820,1.2038050492556454,8.054943469646245
7,1063.2778041868921,36.729016553597035,-48.96278251197263,0.9888260242987347,43.54473386183466,1766,1.238499093028977,11.63277804186892
8,1388.0452291655283,41.089017253474715,-56.130839682172564,1.0683909981787563,44.4253859348199,1749,1.2606136472017242,14.880452291655283
9,1551.371505479014,42.97472500578958,-54.21655921772174,1.104878878631445,45.229885057471265,1740,1.2715762425635482,16.51371505479014
10,1251.6129922643768,39.36986323985483,-49.81412169580059,1.0410864645527453,45.60279557367502,1717,1.2552106134055219,13.516129922643767
11,1249.4679367527006,39.341645545202944,-54.612975101330754,1.0449171135196902,46.113074204947,1698,1.2558526523038727,13.494679367527006
12,1877.8808573993842,46.301422980927384,-48.52283043140256,1.1709218028966255,46.79334916864608,1684,1.292162943761769,19.778808573993842
13,2688.9850215775873,52.85352857771799,-49.59328204192061,1.2787792365552637,47.02734839476813,1682,1.3225360894881384,27.889850215775873
14,2862.701087817835,54.03554030704749,-47.75785652874367,1.3117165560244584,47.54491017964072,1670,1.3328622684626013,29.627010878178346
15,2550.6654760880388,51.86549925054202,-58.166140644666406,1.259295842451925,48.01682692307692,1664,1.318875672116371,26.506654760880387
16,3455.443313320761,57.658958978119614,-56.22376045559354,1.3519395008704187,48.39491217443974,1651,1.345913667406402,35.55443313320761
17,3178.4353635856833,56.037023111106585,-57.47162924957504,1.3249280721404435,48.85265700483092,1656,1.3358374084693003,32.78435363585683
18,3429.009762453226,57.509039220017954,-56.75123499342164,1.3463009192718889,48.79951980792317,1666,1.3403440920960994,35.29009762453226
19,3567.8434078885325,58.28577925195262,-58.84967210538471,1.3628253465085953,48.97466827503016,1658,1.3456542285042103,36.678434078885324
20,3074.5740421486566,55.39793402882454,-57.7566975771056,1.3206439389891522,49.00181488203267,1653,1.3325234331407896,31.745740421486566
21,2501.912424643214,51.50650898254001,-59.09969697979341,1.2536838825095917,49.205378973105134,1636,1.3144676737187462,26.01912424643214
22,2601.10869497843,52.23092115066568,-60.28745920605393,1.2632357782935646,49.235474006116206,1635,1.3173981251956963,27.0110869497843
23,2783.801913713329,53.506398392889224,-60.49698416082396,1.278085237718659,49.231714812538414,1627,1.3217520449502527,28.838019137133294
24,2726.5954255114875,53.114781874434215,-59.191472981419615,1.2694043262422239,49.16820702402958,1623,1.317831283719571,28.265954255114874
25,2895.018288963444,54.24873424871615,-55.110024834699644,1.2865768657361096,49.1640866873065,1615,1.3231623858589803,29.95018288963444
26,3128.5324662133726,55.732195494054416,-52.55309272015324,1.315052313314937,49.563591022443894,1604,1.3319925142317517,32.285324662133725
27,3515.791111825582,57.99761440025153,-50.215500704052374,1.3501956405591555,49.720323182100685,1609,1.3412997566278209,36.15791111825582
28,3383.7795952645215,57.250225411645836,-50.710811238346864,1.341893796226433,49.87515605493134,1602,1.339006874367046,34.837795952645216
29,3724.3241317563047,59.13107967963005,-51.409484670533786,1.3716895618695297,50.094043887147336,1595,1.3481635885505516,38.24324131756305
30,3556.4336859528958,58.222921059165046,-51.221620966267054,1.3557950146707072,50.25094102885822,1594,1.3426555924616967,36.56433685952896
31,4163.947036505022,61.3539762071061,-47.254654703712625,1.402855995255658,50.53492762743864,1589,1.3563468015605156,42.639470365050215
32,4386.5176866735455,62.40403849723772,-46.38469023830021,1.4204315152338,50.40803515379787,1593,1.3612321571386579,44.86517686673545
33,5008.604496416854,65.11486769881112,-43.68606015385886,1.4633600471730515,50.72100313479624,1595,1.3741404709000833,51.08604496416854
34,4875.850010985981,64.56154950043502,-43.550406197982824,1.4572258045198037,50.72463768115942,1587,1.3731323793677095,49.7585001098598
35,4956.973394308935,64.9011779682946,-43.574309363274175,1.4728261354057224,50.856055802156,1577,1.3778358316243906,50.56973394308935
36,4648.215956591596,63.582066383148074,-46.77681245338805,1.45574653621893,50.858232676414495,1573,1.3730289220951,47.482159565915964
37,4396.976644171514,62.45225549627151,-46.31889992787202,1.4434994544456505,51.023017902813294,1564,1.3706767120796313,44.96976644171514
38,4480.262410531256,62.832758997435455,-47.749734842607786,1.4497888091785676,51.18971061093247,1555,1.3732737111684985,45.80262410531256
39,4015.5318767267504,60.626863791486606,-47.052179854392826,1.4085087267128642,51.25725338491296,1551,1.3625393478938752,41.1553187672675
40,4172.836786138297,61.39682398719697,-47.49709182578661,1.4215448639492765,51.12540192926045,1555,1.3663882742239246,42.728367861382964
41,3752.3386695692475,59.279217379149316,-49.24257730805992,1.3870255345182576,50.99550417469493,1557,1.355542423456874,38.52338669569247
42,3726.9952315279547,59.145244912890305,-49.24257730805988,1.385936582691509,51.22739018087855,1548,1.3559173524842074,38.269952315279546
43,3717.7689120261753,59.09627976720466,-50.161128927603805,1.3859158049788807,51.1326860841424,1545,1.356566972427133,38.17768912026175
44,3315.367683635158,56.853135827355025,-51.58997478138143,1.348958036725229,51.42671854734111,1542,1.3453616689256822,34.15367683635158
45,3436.6781883192007,57.552631853725146,-51.7162986808541,1.3627474332400191,51.42487046632125,1544,1.3489697159633685,35.366781883192004
46,2442.5808927985286,51.06162099792013,-53.87196148508724,1.2506167685291703,51.30039011703511,1538,1.317363534632643,25.425808927985287
