timestamp,returns,cumulative
2018-01-01,,
2018-01-02,0.07290255955173719,1.0729025595517372
2018-01-03,0.21213621854078996,1.3005040513977775
2018-01-04,0.1238258248947387,1.461540038341057
2018-01-05,0.0354404070766465,1.5133376122586817
2018-01-06,0.0036046504958336667,1.5187926654330735
2018-01-07,0.03666064356560561,1.5744725819905714
2018-01-08,-0.02750617696725441,1.5311648605202488
2018-01-09,-0.04551653691474031,1.4614715386238257
2018-01-10,-0.11438012136693593,1.29430824666171
2018-01-11,-0.017911904098132148,1.271124721474084
2018-01-12,0.034785285285285295,1.3153411575437386
2018-01-13,0.011203560371517013,1.330077661611421
2018-01-14,-0.05476440816478148,1.257236745660075
2018-01-15,-0.015010487676979545,1.2383650089822986
2018-01-16,-0.06751534170153417,1.1547563722496352
2018-01-17,0.0,1.1547563722496352
2018-01-18,0.0,1.1547563722496352
2018-01-19,0.0,1.1547563722496352
2018-01-20,0.0,1.1547563722496352
2018-01-21,0.0,1.1547563722496352
2018-01-22,0.0,1.1547563722496352
2018-01-23,0.0,1.1547563722496352
2018-01-24,0.0,1.1547563722496352
2018-01-25,0.0,1.1547563722496352
2018-01-26,0.0,1.1547563722496352
2018-01-27,0.0,1.1547563722496352
2018-01-28,-0.0005,1.1541789940635105
2018-01-29,-0.010263525618058045,1.142333048390115
2018-01-30,0.0,1.142333048390115
2018-01-31,0.0,1.142333048390115
2018-02-01,0.0,1.142333048390115
2018-02-02,0.0,1.142333048390115
2018-02-03,0.0,1.142333048390115
2018-02-04,0.0,1.142333048390115
2018-02-05,0.0,1.142333048390115
2018-02-06,0.0,1.142333048390115
2018-02-07,0.0,1.142333048390115
2018-02-08,0.0,1.142333048390115
2018-02-09,0.0,1.142333048390115
2018-02-10,0.0,1.142333048390115
2018-02-11,0.0,1.142333048390115
2018-02-12,0.0,1.142333048390115
2018-02-13,0.0,1.142333048390115
2018-02-14,0.0,1.142333048390115
2018-02-15,-0.0005,1.14176188186592
2018-02-16,0.0023113498282997247,1.1444008929955303
2018-02-17,0.017277787471645434,1.1641736084070682
2018-02-18,-0.03151576560403582,1.1274837858421065
2018-02-19,0.013769597192044125,1.1430087834137133
2018-02-20,0.01718272292632478,1.1626487866414668
2018-02-21,-0.023650394840254996,1.1351516837768527
2018-02-22,-0.0205228248146703,1.1118551646326225
2018-02-23,0.006418430672447517,1.1189915299246196
2018-02-24,-0.011109200165768746,1.1065604290348872
2018-02-25,0.0,1.1065604290348872
2018-02-26,-0.0005,1.1060071488203698
2018-02-27,0.003779835216172589,1.1101876735908196
2018-02-28,-0.001903606392770485,1.1080743132381972
2018-03-01,0.0074620573355818065,1.1163428272956661
2018-03-02,0.005137547077124605,1.122078091125108
2018-03-03,0.007340553549939843,1.1303147654402261
2018-03-04,-0.004656690826903592,1.125051239040487
2018-03-05,0.0030574968233799127,1.128491079629993
2018-03-06,-0.014680919504158174,1.1119237929287844
2018-03-07,0.0,1.1119237929287844
2018-03-08,0.0,1.1119237929287844
2018-03-09,0.0,1.1119237929287844
2018-03-10,0.0,1.1119237929287844
2018-03-11,0.0,1.1119237929287844
2018-03-12,0.0,1.1119237929287844
2018-03-13,0.0,1.1119237929287844
2018-03-14,0.0,1.1119237929287844
2018-03-15,0.0,1.1119237929287844
2018-03-16,0.0,1.1119237929287844
2018-03-17,0.0,1.1119237929287844
2018-03-18,0.0,1.1119237929287844
2018-03-19,0.0,1.1119237929287844
2018-03-20,0.0,1.1119237929287844
2018-03-21,0.0,1.1119237929287844
2018-03-22,0.0,1.1119237929287844
2018-03-23,0.0,1.1119237929287844
2018-03-24,0.0,1.1119237929287844
2018-03-25,0.0,1.1119237929287844
2018-03-26,0.0,1.1119237929287844
2018-03-27,0.0,1.1119237929287844
2018-03-28,0.0,1.1119237929287844
2018-03-29,0.0,1.1119237929287844
2018-03-30,0.0,1.1119237929287844
2018-03-31,0.0,1.1119237929287844
2018-04-01,0.0,1.1119237929287844
2018-04-02,0.0,1.1119237929287844
2018-04-03,0.0,1.1119237929287844
2018-04-04,0.0,1.1119237929287844
2018-04-05,0.0,1.1119237929287844
2018-04-06,0.0,1.1119237929287844
2018-04-07,0.0,1.1119237929287844
2018-04-08,0.0,1.1119237929287844
2018-04-09,0.0,1.1119237929287844
2018-04-10,0.0,1.1119237929287844
2018-04-11,0.0,1.1119237929287844
2018-04-12,-0.002,1.1096999453429268
2018-04-13,0.015843050407618325,1.1272809775143262
2018-04-14,-0.007362244954836672,1.118981658824938
2018-04-15,0.07049886765944458,1.197868598703783
2018-04-16,0.03902956880274927,1.2446208935935452
2018-04-17,-0.028893867936025164,1.2086589818636357
2018-04-18,0.04878765821255576,1.2676266231663345
2018-04-19,0.08152388051421139,1.37096846452998
2018-04-20,0.10738796061390338,1.5181939720018292
2018-04-21,-0.018194821129401267,1.4905707042415206
2018-04-22,-0.0014877943856136389,1.48835304151639
2018-04-23,0.02218189831269346,1.5213675373366944
2018-04-24,0.07197194496315457,1.630863318002621
2018-04-25,-0.10477392162264887,1.4599913725449614
2018-04-26,0.05309462003370763,1.5375090597227274
2018-04-27,-0.024915410797186094,1.4992013898953405
2018-04-28,0.08138508228115099,1.6212140183679888
2018-04-29,0.015709663731333534,1.6466827454330741
2018-04-30,-0.02456186380973835,1.6062371481019009
2018-05-01,0.001579730818297459,1.6087745704262517
2018-05-02,0.026218960260455948,1.6509549669562895
2018-05-03,0.060987272965351114,1.751642208179555
2018-05-04,-0.0032999479282914967,1.745861880103565
2018-05-05,0.02397072315224824,1.787711451893591
