Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Calmar Ratio,Win Rate (%),Total Trades,Profit Factor
Aggressive (E10/X20),220459.2394848152,195.90390348384906,-39.12898222295266,0.9432575046672541,5.006618939578087,41.44736842105263,152,5.711000766389413
Conservative (E55/X5),11424.663487413705,95.2149208712062,-11.541833120597648,1.0979169217912519,8.249549259318686,58.87850467289719,107,8.418025698119349
Balanced (E25/X10),78798.05755335206,155.9989720952666,-23.733299817619486,0.6498830280396019,6.572999679524282,49.166666666666664,120,9.533618125283674
High Sharpe (E15/X10),110184.27011046559,168.36991472059074,-29.67900615719625,0.6489295646231784,5.6730307554374155,43.94904458598726,157,6.943385053490802
Low Risk (E30/X10),62128.64013330806,147.57873164077,-21.958027542796827,0.6360481183904074,6.720946649380725,50.92592592592593,108,10.448868226542093
SMA 20,67302.38365111848,150.3807524307036,-37.692903587751495,1.962849061970742,3.9896303578897174,50.501319261213716,1895,1.5520221519519772
SMA 30,50531.57027378866,140.48710163958486,-43.66407323024485,1.868326852415403,3.217452959525395,51.84573002754821,1815,1.5271281191631572
Multi-Strategy Portfolio,298501.2069968302,208.8092315353999,-24.808741037220276,1.126405905640519,8.416760496718707,52.932479053721046,2029,3.437865660468452
