timestamp,Open,High,Low,Close,Volume,EMA20,RSI,signal,position,position_change,daily_price_return,returns,cumulative
2018-01-01,19278000.0,19420000.0,18290000.0,18860000.0,27949.67613401,18860000.0,,0,,,,,
2018-01-02,18875000.0,21720000.0,18510000.0,20263000.0,41968.47300909,18993619.047619045,,1,0.0,,0.07439024390243909,0.0,1.0
2018-01-03,20263000.0,21329000.0,19520000.0,20900000.0,43168.2576045,19175179.138321992,,1,1.0,1.0,0.03143660859695019,0.029436608596950187,1.0294366085969502
2018-01-04,20899000.0,23685000.0,19700000.0,23402000.0,45192.45174241,19577733.50610085,,1,1.0,0.0,0.119712918660287,0.119712918660287,1.1526734695878387
2018-01-05,23403000.0,28589000.0,22338000.0,27444000.0,56774.8498417,20326901.743615054,,1,1.0,0.0,0.17272028031792153,0.17272028031792153,1.3517635543700814
2018-01-06,27451000.0,28885000.0,23966000.0,26924000.0,48971.92813081,20955196.81565172,,1,1.0,0.0,-0.018947675265996167,-0.018947675265996167,1.3261507775054684
2018-01-07,26924000.0,27210000.0,24543000.0,25859000.0,31015.72258622,21422225.690351553,,1,1.0,0.0,-0.03955578665874315,-0.03955578665874315,1.2736938402731357
2018-01-08,25859000.0,26449000.0,23850000.0,25230000.0,44839.78332164,21784870.862699024,,1,1.0,0.0,-0.02432421980741717,-0.02432421980741717,1.2427122313349785
2018-01-09,25200000.0,25786000.0,22858000.0,24016000.0,41558.52968619,21997359.351965785,,1,1.0,0.0,-0.048117320650019835,-0.048117320650019835,1.1829162484241318
2018-01-10,24015000.0,24200000.0,19689000.0,21317000.0,43736.28693252,21932563.223207142,,0,1.0,0.0,-0.11238341105929384,-0.11238341105929384,1.0499760854287647
2018-01-11,21300000.0,21890000.0,14104000.0,19389000.0,61924.52562032,21690319.106711224,,0,0.0,-1.0,-0.09044424637613169,-0.002,1.0478761332579072
2018-01-12,19359000.0,21143000.0,18005000.0,20745000.0,43734.14210793,21600288.71559587,,0,0.0,0.0,0.06993656196812625,0.0,1.0478761332579072
2018-01-13,20750000.0,21399000.0,19886000.0,21135000.0,30172.38452901,21555975.50458674,,0,0.0,0.0,0.018799710773680367,0.0,1.0478761332579072
2018-01-14,21130000.0,21299000.0,18131000.0,19206000.0,30105.53009772,21332168.31367372,50.85162941813528,1,0.0,0.0,-0.09127040454222857,0.0,1.0478761332579072
2018-01-15,19210000.0,20143000.0,18201000.0,19106000.0,29582.95249892,21120152.283800032,50.602527677084346,1,1.0,1.0,-0.0052067062376340845,-0.0072067062376340845,1.0403243977920895
2018-01-16,19107000.0,19219000.0,11543000.0,14279000.0,59293.11406178,20468613.971057173,37.44861146069301,0,1.0,0.0,-0.2526431487490841,-0.2526431487490841,0.7774935662134013
