Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor,Strategy,Type,Parameters
80.99586732147645,9.03608525448929,-71.22887581759242,0.41473033663573167,40.40723981900452,2210,1.0820530048365713,SMA_5,SMA,period=5
1285.0481029278817,46.701699576421206,-47.09577938974556,1.0886945685667686,45.38577912254161,1983,1.2397058050132996,SMA_10,SMA,period=10
3626.6669279278176,69.47736896006009,-48.06316382040703,1.4221351252018801,48.9031567683253,1869,1.3310214087036771,SMA_15,SMA,period=15
5981.234089808993,82.02077057461392,-46.94661549877836,1.5919362891838402,49.863163656267105,1827,1.3800416853652453,SMA_20,SMA,period=20
4626.862450000471,75.45541515996008,-47.96300091779569,1.5043518217362861,50.0,1780,1.3566760978048098,SMA_25,SMA,period=25
4346.4037224516005,73.897569567476,-47.423311885320594,1.4906250591754644,50.4581901489118,1746,1.3506113618781725,SMA_30,SMA,period=30
3365.370163287877,67.69047866359918,-48.48172225982555,1.4064794855816367,50.37989479836354,1711,1.3293623980393274,SMA_40,SMA,period=40
2616.4876745184097,61.84166955092083,-52.015323262682934,1.3415107155668824,51.3946587537092,1685,1.3114925557819652,SMA_50,SMA,period=50
1578.9852288344455,50.87667489873793,-52.784030495784876,1.1697843495643516,50.522648083623686,1722,1.2656575384797997,SMA_60,SMA,period=60
1184.8372629077955,45.103989172112826,-45.31782380330528,1.0679677482213985,50.37900874635568,1715,1.249513976379962,SMA_100,SMA,period=100
1743.8074564360463,52.950866059691016,-49.00935345603768,1.194854331385194,50.48192771084338,1660,1.2863700046812512,SMA_120,SMA,period=120
1555.0043492217092,50.56052900258421,-46.8816625622137,1.1544894789630493,50.6574827802129,1597,1.2789705526930206,SMA_150,SMA,period=150
984.7586467846346,41.566419633814135,-55.38488562969045,1.0090489804980267,50.78963992419456,1583,1.2396715710500112,SMA_200,SMA,period=200
16.155001401899717,2.207572388943846,-79.55274543987244,0.2723078387724929,39.88203266787659,2204,1.054243725149542,EMA_5,EMA,period=5
1309.141155057205,47.07105164958898,-49.48536906885151,1.0930410010276734,45.19859225741579,1989,1.2413275426952475,EMA_10,EMA,period=10
2280.7437645835857,58.75822933503538,-47.35782539244037,1.2607497762462738,47.33509234828496,1895,1.2872285238633536,EMA_15,EMA,period=15
2637.157397332298,62.02064469761428,-47.36614071246218,1.305897272255687,48.292682926829265,1845,1.3003703006160885,EMA_20,EMA,period=20
3662.1273708479384,69.71155423640613,-46.681027346252385,1.415308870748911,49.16759156492786,1802,1.3300358414469808,EMA_25,EMA,period=25
2746.1393647893383,62.94563828351738,-46.2025976897266,1.3213326274769022,49.523809523809526,1785,1.3075102853344929,EMA_30,EMA,period=30
1527.83363209183,50.19756698613374,-56.97905670925638,1.147462214949042,49.85706117781589,1749,1.263207395470381,EMA_40,EMA,period=40
1426.0992785339174,48.79087323555444,-54.12300853919163,1.1256025129828295,50.08615738081562,1741,1.2591867972969093,EMA_50,EMA,period=50
1354.302690043482,47.74909103050313,-56.03307578413704,1.1072226202668711,50.43128234617596,1739,1.2571970122540777,EMA_60,EMA,period=60
978.2455993292043,41.44216566770824,-51.69774803388947,1.0132902474447474,49.67855055523086,1711,1.2365200365894335,EMA_100,EMA,period=100
1445.464791829808,49.06469204613213,-49.19481268024213,1.1174811105751767,50.48661800486618,1644,1.2689357312105165,EMA_120,EMA,period=120
1032.282728119277,42.454265372370045,-45.23106168538366,1.0152158181648767,50.617283950617285,1620,1.2440818488499616,EMA_150,EMA,period=150
816.4940920256848,38.12954193376803,-51.327792839535604,0.945623320182909,51.52838427947598,1603,1.227290181000319,EMA_200,EMA,period=200
2058.1151852940984,56.501773553146336,-56.35643185650567,1.1374814852878117,49.04545454545455,2200,1.2242387461123379,RSI_10_40,RSI,"period=10, threshold=40"
3481.961108667349,68.50153085740276,-49.800948204576514,1.3370571169549614,47.64448761534726,2059,1.2831690092001005,RSI_10_45,RSI,"period=10, threshold=45"
4537.526017711655,74.96795667150762,-43.70128162857062,1.486013492592239,48.15013404825737,1865,1.3429358425254618,RSI_10_50,RSI,"period=10, threshold=50"
4969.701542535427,77.2559107991559,-37.66486100107421,1.625322496907756,47.430596574128764,1693,1.4062790384993757,RSI_10_55,RSI,"period=10, threshold=55"
3939.4137009413143,71.48047556573962,-28.530815038768992,1.6613627497554249,46.881155613919894,1523,1.4534339605146707,RSI_10_60,RSI,"period=10, threshold=60"
2577.6251153759836,61.50199299366261,-27.827278232054148,1.6154005593392202,46.62576687116564,1304,1.5003437908551587,RSI_10_65,RSI,"period=10, threshold=65"
1842.2727496193565,54.11553911638538,-26.948866420839412,1.5980167681779718,45.622119815668206,1085,1.5644912927511603,RSI_10_70,RSI,"period=10, threshold=70"
2144.269907532988,57.39758840360436,-58.7292873515066,1.1338107408626794,50.04488330341113,2228,1.2256829260064503,RSI_14_40,RSI,"period=14, threshold=40"
3181.197680842749,66.36050597667229,-54.72954611413545,1.2840912296204063,49.90224828934507,2046,1.276067636539209,RSI_14_45,RSI,"period=14, threshold=45"
3000.149448899355,64.98941782874277,-49.60181822123105,1.3431347608250273,50.19283746556474,1815,1.3082097945081719,RSI_14_50,RSI,"period=14, threshold=50"
3142.360649815251,66.07193517431678,-37.743861745118124,1.4516860251358152,49.433249370277075,1588,1.367524797221068,RSI_14_55,RSI,"period=14, threshold=55"
3269.7656935179475,67.00783386496094,-29.272394673160544,1.5757889657040924,49.13294797687861,1384,1.4470867991185572,RSI_14_60,RSI,"period=14, threshold=60"
