total_return,cagr,mdd,sharpe,win_rate,total_trades,profit_factor,calmar,ma_type,period
1669.9615669241996,44.2444308766156,-53.3846358770307,1.1217545186951274,41.87432286023836,1846,1.2713076887270123,0.8287858510177126,sma,5
3134.119466397474,55.766526765983905,-56.47444765899308,1.3254340794213948,45.77751892836343,1717,1.3311987635894547,0.9874647575610871,sma,10
3834.556512602214,59.70861273197687,-54.89475897802601,1.3950966597975794,47.59615384615385,1664,1.3536995263221139,1.0876924107796486,sma,15
5108.313070958798,65.52226023445664,-55.58628529439164,1.4796481194736288,48.69933454325469,1653,1.375655332579866,1.1787486767184188,sma,20
4267.711801000145,61.849332422026215,-54.25143164270377,1.4139903380337016,49.6594427244582,1615,1.3586438928091598,1.1400497747112317,sma,25
8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,51.16133082234777,1593,1.4338383478970282,2.0312322522530306,sma,30
7130.984664289581,72.59306395373997,-48.25920049775874,1.5811750918919516,51.45939086294417,1576,1.4116650331460723,1.504232627250245,sma,35
7732.193628683394,74.35939220088595,-50.245529281634404,1.62189883770619,51.89710610932477,1555,1.4271720327677702,1.4799205673422087,sma,40
8095.147800435953,75.36924983761408,-49.79226384964215,1.6427147563275373,51.94300518134715,1544,1.434043699354858,1.5136738924987791,sma,45
5294.055517851169,66.2633573663894,-53.920797892423685,1.5118322970835116,51.51710781149128,1549,1.3926344567321614,1.2289016475347807,sma,50
5306.45436297771,66.31203089922589,-53.57021237369815,1.508656107324224,51.861360718870344,1558,1.3920667134735691,1.2378526789597666,sma,55
4860.825576956224,64.49811908004412,-55.34638418690769,1.467064717816732,51.509433962264154,1590,1.3768202271216978,1.1653537991249894,sma,60
3802.7277146529586,59.54331910048587,-54.21837219850356,1.3846151259269002,51.8541797611565,1591,1.3513898271777343,1.0982129615121363,sma,65
3441.5458641792234,57.580260318043955,-50.51601885006918,1.3521837400515266,51.530293566520925,1601,1.3408492004136103,1.1398416112113139,sma,70
3804.3249924308557,59.55164208120929,-47.753130278792796,1.3799609652003204,51.74999999999999,1600,1.3482609167402875,1.2470730553899672,sma,75
3816.917733385223,59.61715559610461,-45.5294022071601,1.3862244991518922,51.752190237797244,1598,1.3509386218174508,1.3094210050209931,sma,80
3878.0858808877106,59.932791131209754,-48.01316371493184,1.3924270260019638,51.79900744416873,1612,1.350349267627256,1.2482574880307453,sma,85
3420.73623587348,57.46191398859084,-47.376630986598336,1.3531435278024342,51.31337813072694,1637,1.337116745419191,1.2128746344341237,sma,90
3565.4842109317797,58.27279602026134,-52.57880271369339,1.3611917614879505,51.610942249240125,1645,1.3380632147317084,1.1082944649305417,sma,95
3472.4924577594547,57.75513932230323,-48.8449812747284,1.35960864180909,51.64835164835166,1638,1.3384420259867915,1.1824170634329796,sma,100
3230.6503847630183,56.3516703073083,-51.180499776419765,1.3393046759271705,51.56537753222836,1629,1.3332480199299936,1.1010379061064002,sma,105
4103.977200033021,61.06287341424726,-50.7028335877354,1.4147286164195179,51.84956843403206,1622,1.3561593271885537,1.204328616241635,sma,110
3631.9229966298876,58.635667707953075,-49.16070180028635,1.3727029589065367,51.828890266584004,1613,1.345643656955532,1.192734553427623,sma,115
4476.615367246324,62.81622382047234,-41.94534554376001,1.4433466000472484,52.05992509363296,1602,1.3674990039311967,1.4975731635096083,sma,120
4308.172757377662,62.039707511286444,-38.51688982506564,1.4348845369787682,52.16572504708098,1593,1.3662730656452207,1.6107143591566124,sma,125
5055.879530365701,65.30888238302803,-34.818118439121356,1.4810043600332967,52.36294896030246,1587,1.3813633007655457,1.875715441005781,sma,130
4880.030734040981,64.57917002978415,-35.121646805275525,1.4695105340638048,52.36593059936908,1585,1.3776300805753934,1.8387284169170535,sma,135
4500.082099790934,62.922418319513575,-42.44334336731995,1.4427749719378467,52.11356466876972,1585,1.369394860931948,1.4825038116097582,sma,140
4140.664028775948,61.241383721379215,-46.58460930947042,1.4166223181103528,51.96700507614214,1576,1.3625792459706652,1.3146269686312286,sma,145
3031.8761176885605,55.129897210895386,-42.96505913952887,1.3155366475726764,51.8849840255591,1565,1.334215595287333,1.2831332788781054,sma,150
