timestamp,Open,High,Low,Close,Volume,SMA30,MACD,MACD_Signal,signal,position,position_change,daily_price_return,returns,cumulative
2018-01-01,19278000.0,19420000.0,18290000.0,18860000.0,27949.67613401,,0.0,0.0,0,,,,,
2018-01-02,18875000.0,21720000.0,18510000.0,20263000.0,41968.47300909,,111920.22792022675,22384.04558404535,1,0.0,,0.07439024390243909,0.0,1.0
2018-01-03,20263000.0,21329000.0,19520000.0,20900000.0,43168.2576045,,249146.3867988065,67736.51382699757,1,1.0,1.0,0.03143660859695019,0.029436608596950187,1.0294366085969502
2018-01-04,20899000.0,23685000.0,19700000.0,23402000.0,45192.45174241,,553410.2276660837,164871.25659481483,1,1.0,0.0,0.119712918660287,0.119712918660287,1.1526734695878387
2018-01-05,23403000.0,28589000.0,22338000.0,27444000.0,56774.8498417,,1107925.6559505165,353482.1364659552,1,1.0,0.0,0.17272028031792153,0.17272028031792153,1.3517635543700814
2018-01-06,27451000.0,28885000.0,23966000.0,26924000.0,48971.92813081,,1488267.650692448,580439.2393112538,1,1.0,0.0,-0.018947675265996167,-0.018947675265996167,1.3261507775054684
2018-01-07,26924000.0,27210000.0,24543000.0,25859000.0,31015.72258622,,1684338.8129467554,801219.154038354,1,1.0,0.0,-0.03955578665874315,-0.03955578665874315,1.2736938402731357
2018-01-08,25859000.0,26449000.0,23850000.0,25230000.0,44839.78332164,,1768584.437927235,994692.2108161303,1,1.0,0.0,-0.02432421980741717,-0.02432421980741717,1.2427122313349785
2018-01-09,25200000.0,25786000.0,22858000.0,24016000.0,41558.52968619,,1717590.7317104898,1139271.9149950023,1,1.0,0.0,-0.048117320650019835,-0.048117320650019835,1.1829162484241318
2018-01-10,24015000.0,24200000.0,19689000.0,21317000.0,43736.28693252,,1442759.8709228858,1199969.506180579,1,1.0,0.0,-0.11238341105929384,-0.11238341105929384,1.0499760854287647
2018-01-11,21300000.0,21890000.0,14104000.0,19389000.0,61924.52562032,,1057194.269212678,1171414.4587869989,0,1.0,0.0,-0.09044424637613169,-0.09044424637613169,0.9550117896691993
2018-01-12,19359000.0,21143000.0,18005000.0,20745000.0,43734.14210793,,851236.0995626561,1107378.7869421304,0,0.0,-1.0,0.06993656196812625,-0.002,0.9531017660898609
