entry_period,exit_period,slippage,total_return,cagr,mdd,sharpe,sortino,calmar,win_rate,total_trades,winning_trades,losing_trades,avg_win,avg_loss,profit_factor,max_win_streak,max_loss_streak,avg_holding_period
10,5,0.1,7408.420716035508,73.42348024007515,-33.35308182261324,1.2137947621279968,1.7885668554918848,2.201400177368148,47.706422018348626,109,52,57,14.106685930814816,-3.617003187543704,3.557988940875647,1,1,10.770642201834862
10,5,0.2,6656.598506233611,71.10645162515566,-34.50469953739229,1.1911988241815854,1.7516002760502514,2.060775853100779,47.706422018348626,109,52,57,14.006685930814816,-3.717003187543704,3.4377235169015528,1,1,10.770642201834862
10,5,0.3,5979.428091296497,68.81815460120642,-35.63757086691336,1.1684617286281294,1.7146336966086175,1.9310562680661993,47.706422018348626,109,52,57,13.906685930814813,-3.8170031875437047,3.323759655596651,1,1,10.770642201834862
10,10,0.1,7374.620080958732,73.32375519793845,-17.376896207138206,0.9271588329297575,1.8720246782815602,4.21961173755633,48.75,80,39,41,20.12203754856885,-4.753792279091791,4.0263590871451305,1,1,19.2125
10,10,0.2,6822.110220617747,71.63518527630279,-17.64076797086288,0.9155965703971011,1.759654812466712,4.060774757347417,47.5,80,38,42,20.549665235887417,-4.738888047911901,3.923400188623035,1,1,19.2125
10,10,0.3,6309.958661921069,69.96143598086265,-17.904077321287154,0.9039960861007137,1.6664648559243838,3.907570031418575,46.25,80,37,43,21.004563036804864,-4.728252358380421,3.8224892425255774,1,1,19.2125
20,5,0.1,5452.698637250724,66.87890422168783,-31.242588316472926,1.223460018192444,1.4806883711626015,2.140632637226966,60.273972602739725,73,44,29,13.589731756028788,-4.090035566133435,5.041252825453311,1,1,11.972602739726028
20,5,0.2,5079.147226391488,65.4038026496772,-32.0214593599005,1.2076957837157867,1.3971122638791806,2.0424991226845957,58.9041095890411,73,43,30,13.804191805817467,-4.051436060091806,4.883702460444775,1,1,11.972602739726028
20,5,0.3,4730.40055930871,63.94033169552606,-32.792302065812706,1.1918192969336994,1.3755060848233238,1.9498579748137423,58.9041095890411,73,43,30,13.70419180581747,-4.151436060091806,4.731537385460135,1,1,11.972602739726028
20,10,0.1,6517.811642863279,70.65430754057267,-18.61707427072157,0.9334889448960454,1.0066407851739942,3.7951348591700182,59.61538461538461,52,31,21,21.288069794984473,-4.915068836171451,6.393653260065557,1,1,21.884615384615383
20,10,0.2,6202.959340689682,69.59707984261647,-19.202978663846977,0.9258828145698625,0.9799638068119727,3.6242856413544504,57.692307692307686,52,30,22,21.895265940468516,-4.788375460415314,6.235346637859927,1,1,21.884615384615383
20,10,0.3,5902.805336406993,68.54539501434121,-19.78526586293771,0.9182492810145836,0.9707241240473863,3.464466714230122,57.692307692307686,52,30,22,21.795265940468507,-4.888375460415313,6.079896569365175,1,1,21.884615384615383
20,15,0.1,9258.469771922493,78.36219824944708,-19.23530047075389,0.8433839454225619,1.0062917143771446,4.073874404436367,58.536585365853654,41,24,17,31.551951724402453,-5.404968157766568,8.241294036526128,1,1,33.34146341463415
20,15,0.2,8912.036700315588,77.50653221050408,-19.736913423884133,0.8388794483004928,1.0000908888778408,3.9269834419353273,58.536585365853654,41,24,17,31.451951724402456,-5.504968157766569,8.065942273068792,1,1,33.34146341463415
20,15,0.3,8578.114772481013,76.65415841049324,-20.235929048653915,0.8343638029578192,0.9938900633785367,3.7880226910358847,58.536585365853654,41,24,17,31.351951724402454,-5.604968157766568,7.89684752155235,1,1,33.34146341463415
