sma_period,total_return,cagr,mdd,sharpe,win_rate,total_trades,final_value
5,8394.404803311529,73.03196121411652,-53.16822083767545,1.2154851606062522,34.50210378681627,714,84.94404803311528
6,10176.61408701251,77.18242126628306,-63.64643966641966,1.2545813504620067,34.11580594679186,640,102.7661408701251
7,7560.1872246494495,70.9000207218087,-61.80114933335717,1.192436221472328,35.04424778761062,566,76.6018722464945
8,10157.615642652921,77.21048462078474,-62.94730962976992,1.2597747176372427,35.586481113320076,504,102.57615642652921
9,9577.658968067004,75.97431155652681,-62.53549095997729,1.2452831044092738,35.94080338266385,474,96.77658968067004
10,8872.127465602181,74.3682950876718,-56.322631054518624,1.2233224040652493,34.60674157303371,446,89.72127465602182
11,11771.134339247943,80.5466053511545,-54.67227325419214,1.2867207779456884,35.59322033898305,414,118.71134339247944
12,8973.84950776,74.67747864397265,-51.78431933261747,1.2325098483717485,32.581453634085214,400,90.7384950776
13,10414.484376106186,77.92621448262868,-50.32861220919658,1.2613615570330239,33.59580052493438,382,105.14484376106185
14,9657.237693308445,76.32165040331785,-46.04101221431218,1.2486649423595586,33.787465940054496,368,97.57237693308446
15,10550.989571925305,78.28035362110543,-54.81089808338064,1.2652707165975507,34.718100890207715,338,106.50989571925305
16,12015.271365480265,81.18401888553831,-53.91924348342747,1.2926152745534916,34.38485804416404,318,121.15271365480265
17,12842.523409190273,82.71019626825186,-56.03214793237123,1.3074048751939027,34.98349834983499,304,129.42523409190272
18,10171.868522383962,77.58556388287656,-56.13399610623059,1.257871103906191,33.44481605351171,300,102.71868522383963
19,9630.697799861846,76.43189978745679,-56.394937107309,1.2457397796619936,34.385964912280706,286,97.30697799861845
20,10991.592487754217,79.35521241326917,-55.424670933305265,1.27576394369027,34.18181818181818,276,110.91592487754217
21,16845.925425113408,89.07972120593845,-54.48124552759993,1.3731644017282634,35.40856031128405,258,169.45925425113407
22,15460.307183938308,87.12834512354884,-54.761870866556265,1.3500156102529712,35.294117647058826,256,155.6030718393831
23,14439.82691159816,85.59810309499565,-54.998595769609956,1.3313579271576204,33.87755102040816,246,145.3982691159816
