sma_period,total_return,cagr,mdd,sharpe,win_rate,total_trades,final_value
56,8376.874724689238,74.6585539150614,-57.30490056507721,1.209317397061979,35.65891472868217,130,84.76874724689237
57,8030.14418507788,73.77779586137723,-57.30490056507723,1.1987354748183505,35.11450381679389,132,81.3014418507788
58,7328.2050895836055,71.84942624259693,-57.30490056507727,1.1778842129397318,35.11450381679389,132,74.28205089583605
59,6951.649027442778,70.76086887567257,-60.778157059029226,1.1616179817515333,34.883720930232556,130,70.51649027442778
60,7827.7099958525,73.32647969477873,-58.9175977959004,1.188416602411168,35.11450381679389,132,79.277099958525
61,7309.899779049339,71.89224000385803,-59.03849609056808,1.1727161524626795,36.8,126,74.09899779049339
62,6488.591205565068,69.40097839484578,-61.079679324792856,1.146608853936441,39.130434782608695,116,65.88591205565068
63,6103.3260503476295,68.15126973087511,-58.95757980042,1.1346919909654163,39.31623931623932,118,62.03326050347629
64,4463.09173779609,61.800863658801084,-60.58600893286966,1.0638808287550205,36.75213675213676,118,45.63091737796089
65,4527.6393797915325,62.114369282834225,-59.02304977687519,1.0681416941718904,33.6283185840708,114,46.276393797915325
66,4742.993303487142,63.07359966373443,-61.93973454826277,1.080566209430515,38.095238095238095,106,48.42993303487142
67,4284.775877048894,61.06997715700104,-62.98901173542739,1.0603515004052182,37.61467889908257,110,43.84775877048894
68,4346.489181928085,61.38071001398811,-62.989011735427404,1.0626788340853335,37.16814159292036,114,44.464891819280844
69,4217.849680642367,60.81066201950775,-62.12228810494174,1.0562656141409368,38.05309734513274,114,43.178496806423674
70,3755.6946931561965,58.55540827703722,-63.39696125048238,1.029837552187159,35.65217391304348,116,38.55694693156197
71,2902.2568667218975,53.64989197683909,-69.17816036542182,0.9695496832836016,35.53719008264463,122,30.022568667218977
72,3045.2373414661815,54.57834595567801,-69.17816036542182,0.9800271922085572,36.134453781512605,120,31.452373414661814
73,2435.69245390746,50.45065281424075,-69.51378358317872,0.9430451439199888,35.65217391304348,116,25.356924539074598
74,1981.258973318792,46.76261394729728,-70.32959858292178,0.9125120992042962,36.03603603603604,112,20.81258973318792
75,2280.028771496782,49.29260663735708,-69.74556593559095,0.9489870768497478,34.78260869565217,116,23.800287714967823
76,2695.6673570916323,52.38399130773652,-69.08496035152353,0.99295482729759,33.04347826086956,116,27.956673570916323
77,2752.8242590513155,52.79696269061813,-69.08496035152352,0.998194282041211,33.6283185840708,114,28.528242590513155
78,2332.3600855647906,49.76648933008592,-69.00490356912076,0.9611031682166145,32.773109243697476,120,24.323600855647907
79,2557.18695990084,51.47336835368672,-66.33491460317005,0.9834770632503923,35.39823008849557,114,26.5718695990084
80,2535.0642536276164,51.334856727798716,-66.33491460317008,0.9825005777350654,35.77981651376147,110,26.350642536276165
81,2601.7211833123893,51.836398584178745,-65.42974858149985,0.988832826016827,35.39823008849557,114,27.017211833123895
82,2270.2468106913952,49.360010134095454,-66.09709391712421,0.9581811702072482,32.743362831858406,114,23.70246810691395
83,2436.5004207283496,50.67019680874025,-62.378768476319216,0.9755579951855277,34.862385321100916,110,25.365004207283494
84,2382.1770372489973,50.27846766678281,-62.35804029194156,0.968163973267469,31.775700934579437,108,24.821770372489972
85,2316.995446845781,49.79316954999797,-61.36352690382846,0.9642274325933649,31.06796116504854,104,24.169954468457806
86,2386.4049280696013,50.353481529378065,-61.53312896409121,0.9709707074764806,28.440366972477065,110,24.864049280696012
87,2316.591565304961,49.83207458887957,-60.835052110849254,0.9635720397754306,26.666666666666668,106,24.16591565304961
88,2042.217126738033,47.57702030969704,-61.95634662087331,0.9343360356473241,25.210084033613445,120,21.422171267380328
89,2280.0158742986246,49.58412064893898,-63.748044087452385,0.9656072355804167,27.73109243697479,120,23.800158742986245
90,2288.202926623089,49.67038599679794,-63.74804408745237,0.9676659371696045,29.059829059829063,118,23.882029266230887
91,2396.807836864627,50.54011731335437,-63.74804408745237,0.9794267393004609,30.973451327433626,114,24.96807836864627
92,2530.624200051015,51.56455907695678,-61.88929688408803,0.9913866833801113,32.432432432432435,112,26.30624200051015
93,2120.2734325729084,48.3509997139804,-63.701117196155955,0.9505880816467214,33.6283185840708,114,22.202734325729082
94,2261.671220993315,49.54176718252932,-64.33193600117225,0.9649200790448159,32.11009174311927,110,23.616712209933148
95,2510.6178370502967,51.48317860551819,-64.52401655844302,0.99251496334583,30.476190476190478,106,26.106178370502967
96,2498.8440135800147,51.41792548844204,-63.22517861671309,0.992230686491543,28.71287128712871,102,25.988440135800147
97,2710.1472484596343,52.95551957070046,-63.70316716877146,1.0146794751959087,28.71287128712871,102,28.101472484596343
98,2570.27126946289,51.9860339699159,-64.50287931488954,1.0024591642356644,30.693069306930692,102,26.7027126946289
99,2655.4364318045446,52.61788293263028,-65.03075016456876,1.0108480671587055,28.155339805825243,104,27.554364318045444
100,2356.1850710497124,50.41875058805756,-66.16635772290387,0.9841931071428839,28.28282828282828,100,24.561850710497122
