Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor,Calmar Ratio,RSI Period,RSI Threshold
1085.440606636478,85.63242301464649,-43.58816045376399,1.5015363153380246,47.3420260782347,997,1.3463032838092965,1.9645798795634155,5,45
1689.3951730403305,105.77427009353588,-36.58438693028974,1.761349019133475,46.77777777777778,900,1.448034953495871,2.891240744175515,5,50
2611.3146604168187,128.3181243952442,-29.028007765216497,2.067546935793118,47.15762273901809,774,1.6057653331730128,4.420493663674862,5,55
2436.3458333182284,124.53940324349348,-26.52044796173314,2.120659253277452,48.91304347826087,644,1.7081621797255395,4.69597660730293,5,60
2444.0169557365466,124.70910584880555,-24.904310944205484,2.261612129836829,46.88644688644688,546,1.8909725347400879,5.007530869984651,5,65
1598.9293795270992,103.12083730687927,-41.86893040446722,1.6708078362576033,49.39879759519038,998,1.3864237827922936,2.4629441523989053,7,45
2028.7297506724985,114.91045832263293,-37.84258221189408,1.8683729953876036,48.894062863795114,859,1.4886257710204411,3.036538513128105,7,50
3033.3559850681518,136.7328904035616,-27.451872572835633,2.1639343675774363,49.72299168975069,722,1.6622965862513244,4.9808219836654235,7,55
2321.660005655576,121.95518661966092,-24.6729251122041,2.120079015316627,49.74958263772955,599,1.7376726350329539,4.942875077237501,7,60
1997.3691224747092,114.11398363727004,-24.804507795251617,2.177658691960391,49.072164948453604,485,1.8923046742607736,4.6005340875627105,7,65
1103.15717621309,86.32261814859301,-52.70512216046088,1.4725091015075935,50.049751243781095,1005,1.3299877471381365,1.6378411549030012,10,45
1838.3646628012143,109.93232820417118,-40.87081256994903,1.801282231866485,50.95238095238095,840,1.464325089384256,2.6897514703439205,10,50
2256.758836858222,120.45186208139084,-30.404474404376547,2.021805707050071,51.74418604651163,688,1.6120880132158035,3.961649212526841,10,55
2103.3153316795515,116.76998272610058,-33.93082597490108,2.096163849528797,51.19266055045871,545,1.7636653654312924,3.441412914984042,10,60
1735.5558315472256,107.08960429977563,-19.847527875350977,2.1318508079305145,53.07125307125307,407,1.9554140622530731,5.395614253439203,10,65
1200.169624685604,89.97250845616371,-51.4615550905899,1.5083442042168893,50.84075173095945,1011,1.3351575196020506,1.7483441434636282,14,45
1400.0685592741754,96.89249666902215,-47.23470743212846,1.6702225658200667,51.67701863354037,805,1.4319964407610195,2.0512987575554895,14,50
3001.498600780067,136.1284430231983,-28.16817290151386,2.192902988628289,54.337899543378995,657,1.6930496620320967,4.8327040415135425,14,55
1530.5333564768964,101.04348902261057,-34.751580625585014,1.9610239130645075,52.400000000000006,500,1.7268473264759299,2.9075940490666414,14,60
762.1760853323002,71.41909498425929,-25.313914187195074,1.6867346228456335,49.869451697127936,383,1.7165586573435367,2.821337484836158,14,65
910.6709770381823,78.37109189050136,-58.76125953824178,1.3788190765262018,50.588235294117645,1020,1.3000760905812807,1.3337204223727968,17,45
1264.1210477692819,92.26824034134144,-50.910279260820765,1.5984580341047951,52.015113350125944,794,1.4116997691021609,1.8123695583879598,17,50
2900.764286891441,134.18599599239275,-27.042090208229602,2.1734891563425043,56.94227769110765,641,1.6865125808966892,4.962116277223146,17,55
1303.8593697368633,93.65439632834322,-36.21094259414123,1.8604009272037223,51.73116089613035,491,1.683429628823501,2.5863562122101755,17,60
587.3112175615341,61.96892740549491,-30.255780574858687,1.5631941047354196,50.427350427350426,351,1.6852743043051999,2.048168192262359,17,65
1119.648775185512,86.95827619990919,-62.589805889638605,1.466065710265311,51.57170923379175,1018,1.3225413613328687,1.3893360901811753,20,45
1142.5514794364774,87.83044192008683,-49.53469099870865,1.560587403475501,53.13700384122919,781,1.401887164064033,1.7731097166302408,20,50
2375.5397479516487,123.18043415093065,-36.64156434804234,2.073057405677956,55.72998430141287,637,1.6464039534423767,3.361767881439043,20,55
1215.740958537522,90.53915608149374,-35.507215123022256,1.839509025505928,52.719665271966534,478,1.6741171279961742,2.549880517742709,20,60
515.9837661375018,57.58958683729798,-30.66199064552863,1.498442099511172,50.75987841945289,329,1.6647688443945716,1.8782076970497068,20,65
1213.1918412605094,90.44673804775452,-67.14098883581609,1.4707775914815582,52.92368681863231,1009,1.329872752613529,1.3471165619697587,25,45
1111.4814728506199,86.64428379043348,-46.4436489802367,1.550517685880595,53.5064935064935,770,1.4000606971180294,1.8655787323537705,25,50
1840.004715645275,109.97675053376264,-33.916080138430885,1.9350669189733605,55.48172757475083,602,1.6099152216318233,3.24261383051593,25,55
1217.7101162343135,90.61045585818366,-28.811808514062303,1.840307286522724,52.328159645232816,451,1.6992574924576322,3.1449069159944965,25,60
449.24679227718815,53.132916800581654,-32.64710143134865,1.4453734379549747,49.83388704318937,301,1.6826708302372415,1.6274926247989034,25,65
973.7575710263106,81.09359272316024,-71.00452269480041,1.374110262849561,52.59042033235581,1023,1.302240056588974,1.1420905267080774,30,45
1193.9616652633313,89.74517890703511,-42.723593676492335,1.566642369275376,54.01273885350319,785,1.4008272287963042,2.100599953894218,30,50
1252.113088188086,91.84342564462224,-39.80626725443236,1.729744183323528,55.24956970740104,581,1.5402616869947634,2.3072604386033113,30,55
1079.6930725415305,85.4068516762635,-30.756064088504896,1.7965564718098954,52.764976958525345,434,1.691133697156642,2.7769109672321295,30,60
450.4277448613136,53.215220823118536,-25.398185669647173,1.5071967795546999,51.38339920948617,253,1.7744965073241064,2.0952370974559376,30,65
