total_return,cagr,mdd,sharpe,win_rate,total_trades,profit_factor,calmar,ma_type,period
7570.577128384154,70.74318657829966,-49.552436017621694,1.4248175875576026,41.340782122905026,1969,1.3723448848581536,1.427642962964367,wma,5
8287.461757356949,72.63409840773984,-61.75294318797313,1.4465564994466769,45.33116178067318,1842,1.382172677821626,1.1762046415608884,wma,10
10190.564300086888,77.04108048386769,-52.531510425377256,1.5062012506052678,46.67783361250698,1791,1.4038888369753098,1.4665689194927507,wma,15
9393.519705174216,75.29039455448665,-55.02000438889185,1.491345792922437,47.635327635327634,1755,1.400143655808426,1.3684185486849443,wma,20
12640.61092078349,81.76384700252386,-55.593779986882296,1.5637888737217363,48.85057471264368,1740,1.4208529847973086,1.470737320286848,wma,25
19363.887368192623,91.51116383949267,-50.389614109033886,1.6693387789568073,49.970845481049565,1715,1.456146798023491,1.8160719318365743,wma,30
13228.695475219774,82.77773155209506,-43.7175981701699,1.5597129450820286,50.29585798816568,1690,1.4209860204824314,1.8934647605727184,wma,35
17904.429510433296,89.67992439916695,-40.58624406111305,1.649010487832151,51.442307692307686,1664,1.4536846804337409,2.209613785994356,wma,40
15085.221138874573,85.73960191858691,-54.55193063965276,1.6078218950312122,51.334951456310684,1648,1.4439527086100539,1.571706095700753,wma,45
19440.290018936437,91.60367313954882,-57.11921104240513,1.6759502702619267,52.21130221130221,1628,1.4701721615731254,1.6037279133905147,wma,50
13599.133960959296,83.3964285101957,-54.5046619181356,1.5861658249645558,51.760345892526246,1619,1.4406229646745972,1.5300788148260547,wma,55
12061.72987132511,80.72493357426305,-52.23260900413251,1.5567407468109113,51.61090458488228,1614,1.4316449395487096,1.545489209008807,wma,60
11370.545509733964,79.42609971990437,-46.45808692569087,1.5477988947345218,51.92069392812887,1614,1.4288401698207907,1.7096291512594013,wma,65
8092.394063758946,72.1340523042356,-55.1936748160502,1.4611108154676493,51.736972704714645,1612,1.4015504861088035,1.3069260661596531,wma,70
4021.6757583688363,58.157827191343344,-55.246148221871834,1.298976801648637,51.771286513362334,1609,1.3405789050406423,1.0527037461105528,wma,75
4364.599880028399,59.72365706619127,-55.24614822187185,1.3292104108158693,51.955307262569825,1611,1.3488262788770005,1.081046534254976,wma,80
2439.805028539276,48.994491404380994,-55.21402684374631,1.1640558228784395,51.86799501867995,1606,1.300381546983634,0.8873558804727941,wma,85
3060.9517743001566,53.06752145789899,-55.444460948827555,1.2325709977962487,51.84721352536005,1597,1.320987154803543,0.957129360620489,wma,90
3407.466357138147,55.042894162637744,-54.4724509857761,1.2728102325752897,51.67493796526055,1612,1.331044976405683,1.0104721408076645,wma,95
2554.0802827141033,49.80501809627194,-55.32828472687557,1.191225702569854,51.17139334155364,1622,1.306449590836991,0.900172820143099,wma,100
1846.0337082930923,44.182979364122744,-59.45245233321328,1.1067280104792985,51.456912585244886,1613,1.281526851533076,0.7431649600674218,wma,105
2127.3415179194526,46.60275463822592,-52.986507635696555,1.1552144110025462,51.44972239358421,1621,1.2946059726216836,0.8795211595872389,wma,110
3542.9520061343046,55.7689485713522,-43.77831749074049,1.3301088438968713,51.444376152427786,1627,1.3388644039230035,1.2738942875807833,wma,115
4446.189823100487,60.0806242652767,-44.10924146396146,1.4037382201875919,51.21802679658952,1642,1.3584501695687128,1.3620869974462,wma,120
4385.64712674114,59.81628559902901,-42.2786864560259,1.4041171937323162,51.6267648864334,1629,1.360456002169055,1.4148094610565534,wma,125
6020.250123245837,66.05640546441127,-35.851881176237185,1.5135686395128967,51.92307692307693,1612,1.3952377170851282,1.8424808767968863,wma,130
4974.708451822962,62.265650705217766,-39.51735363287398,1.4505152024259855,51.741293532338304,1608,1.3766286932165215,1.5756533517826399,wma,135
4146.28976008616,58.73960328423391,-39.322813363064604,1.3896835680695874,51.520794537554316,1611,1.3577395101866925,1.4937792660432387,wma,140
4405.591803918955,59.9037107813404,-38.52889413436508,1.4072738214579497,51.8266253869969,1615,1.3629933378776387,1.5547736867929067,wma,145
5002.2893277847825,62.3741057353822,-39.76554590820173,1.448277330907591,52.1415270018622,1611,1.3758571397749146,1.5685464466996644,wma,150
