total_return,cagr,mdd,sharpe,win_rate,total_trades,profit_factor,calmar,ma_type,period
128.5958197487441,11.115976284739881,-62.95161107572288,0.4628361932321553,37.54588358678553,1907,1.109160350256419,0.17657969501954063,dema,5
3482.018643150934,57.80870568495209,-53.04253377531792,1.3298443277141787,42.64538198403649,1754,1.3398529460499164,1.0898556605501375,dema,10
4834.081179495333,64.38479321050752,-51.76180239997239,1.4018170179924758,44.8456610366919,1717,1.3618485773853575,1.2438669100622715,dema,15
2172.3176000981794,48.91280585089943,-50.21595458333814,1.1776267673923408,45.02958579881657,1690,1.2937272342705004,0.9740491096255871,dema,20
2662.96005008884,52.670945789543076,-45.2414409318322,1.240560995623521,45.73643410852713,1677,1.3135970757543567,1.1642190147945404,dema,25
3587.649150942496,58.394488630872644,-46.70547262342952,1.3396111870252807,47.0517448856799,1662,1.344615359259276,1.2502708002055287,dema,30
2979.878680733844,54.799142924130905,-48.79278278397348,1.2824543862378253,47.0873786407767,1648,1.3272308463495093,1.123099356041039,dema,35
3130.026866344196,55.74138343218844,-49.97139702721365,1.3008237710355328,47.97546012269939,1630,1.3328960339345608,1.1154657813915538,dema,40
4092.9311022412685,61.008859216807366,-43.67359191678676,1.3772539049435315,48.71007371007371,1628,1.3546020713074058,1.3969279040077642,dema,45
6379.67970861708,70.19600621838511,-46.267331094081634,1.5209032552823103,49.17228694052728,1631,1.3952227924769325,1.517182957358099,dema,50
6605.22119525146,70.94002592391313,-51.32356822812307,1.5379361981453288,49.818401937046005,1652,1.3963059925068997,1.3822114941151167,dema,55
4607.9619698472,63.4046100513264,-60.14118155420442,1.4135301880289293,49.6415770609319,1674,1.3558550838621075,1.0542627931940562,dema,60
4918.219387491162,64.7395294272241,-59.36971184165499,1.4263010871036552,49.84912492456246,1657,1.3611579553926685,1.0904470885742372,dema,65
5915.959849618308,68.59243727566404,-64.91377962014411,1.4886076807629345,50.69993913572732,1643,1.379813128061079,1.0566699039409864,dema,70
4218.504021452838,61.615717444075834,-68.92356665093207,1.384268865818641,50.36452004860267,1646,1.348498764205536,0.8939716912233037,dema,75
4105.890562771515,61.07221696149752,-70.7987040501767,1.374704207270738,49.94011976047904,1670,1.342850131030589,0.862617724163626,dema,80
4722.934772018501,63.90800681785551,-71.07566788298023,1.418434807954981,50.23980815347721,1668,1.354499453794285,0.8991545028190852,dema,85
4539.677593294,63.100533720543496,-70.53351800690196,1.4074376217270326,50.089232599643076,1681,1.3505392080354148,0.8946177009683379,dema,90
3632.0061956299214,58.6361185741209,-71.35075842045767,1.3314613778659887,49.97050147492625,1695,1.329304855138967,0.8218009152557063,dema,95
3730.4165507817183,59.16337607442139,-69.80083157814835,1.335218740558056,50.50565139797739,1681,1.3321579683248401,0.8476027396347369,dema,100
2816.7572405034803,53.72893277212258,-69.80199833601604,1.2485648331594323,50.41469194312796,1688,1.3070159618950092,0.7697334467915918,dema,105
2741.254284772139,53.215785912314374,-68.79064782908453,1.2358812910774972,50.620200826934436,1693,1.3022187384687371,0.7735904166004213,dema,110
2504.759881195399,51.52763677242653,-69.02711265079287,1.211372620588022,50.56379821958457,1685,1.2960874915279639,0.7464840233591121,dema,115
3023.7659509690748,55.07862554203433,-66.85936979868696,1.2691225714420593,50.504451038575674,1685,1.3127909432610005,0.8237981558587173,dema,120
4250.326205034829,61.767057496457035,-65.25044269856618,1.371836610405969,50.898203592814376,1670,1.3430223756180637,0.9466151483722319,dema,125
3520.9598808940277,58.0263903219401,-66.17432801341829,1.3155307988646836,50.47904191616767,1670,1.3270371002162158,0.8768716217288067,dema,130
3697.2411597624427,58.98696512387956,-65.1807914679573,1.331911250607637,51.24016938898972,1653,1.3331919751986168,0.9049746680795888,dema,135
3161.171647497895,55.93203001566114,-64.18467999178112,1.2864926808537789,51.15571776155717,1644,1.3212667740960962,0.8714233680501836,dema,140
3524.3084559904873,58.04501361178798,-61.8812382059891,1.3204830276797335,51.191203420891874,1637,1.3322752394896442,0.9380066607356632,dema,145
3036.6657937900413,55.16012268350941,-60.3103088678568,1.2793746078443862,50.8495145631068,1648,1.3210934717972573,0.9146052096063423,dema,150
