timestamp,Open,High,Low,Close,Volume,EMA50,Momentum,signal,position,position_change,daily_price_return,returns,cumulative
2018-01-01,19278000.0,19420000.0,18290000.0,18860000.0,27949.67613401,18860000.0,,0,,,,,
2018-01-02,18875000.0,21720000.0,18510000.0,20263000.0,41968.47300909,18915019.60784314,,1,0.0,,0.07439024390243909,0.0,1.0
2018-01-03,20263000.0,21329000.0,19520000.0,20900000.0,43168.2576045,18992861.976163015,,1,1.0,1.0,0.03143660859695019,0.029436608596950187,1.0294366085969502
2018-01-04,20899000.0,23685000.0,19700000.0,23402000.0,45192.45174241,19165769.349646818,,1,1.0,0.0,0.119712918660287,0.119712918660287,1.1526734695878387
2018-01-05,23403000.0,28589000.0,22338000.0,27444000.0,56774.8498417,19490405.8457391,,1,1.0,0.0,0.17272028031792153,0.17272028031792153,1.3517635543700814
2018-01-06,27451000.0,28885000.0,23966000.0,26924000.0,48971.92813081,19781919.341984626,,1,1.0,0.0,-0.018947675265996167,-0.018947675265996167,1.3261507775054684
2018-01-07,26924000.0,27210000.0,24543000.0,25859000.0,31015.72258622,20020236.230534248,,1,1.0,0.0,-0.03955578665874315,-0.03955578665874315,1.2736938402731357
2018-01-08,25859000.0,26449000.0,23850000.0,25230000.0,44839.78332164,20224540.692081925,,1,1.0,0.0,-0.02432421980741717,-0.02432421980741717,1.2427122313349785
2018-01-09,25200000.0,25786000.0,22858000.0,24016000.0,41558.52968619,20373225.37082381,,1,1.0,0.0,-0.048117320650019835,-0.048117320650019835,1.1829162484241318
2018-01-10,24015000.0,24200000.0,19689000.0,21317000.0,43736.28693252,20410236.14059543,,1,1.0,0.0,-0.11238341105929384,-0.11238341105929384,1.0499760854287647
2018-01-11,21300000.0,21890000.0,14104000.0,19389000.0,61924.52562032,20370187.664493646,529000.0,1,1.0,0.0,-0.09044424637613169,-0.09044424637613169,0.9550117896691993
2018-01-12,19359000.0,21143000.0,18005000.0,20745000.0,43734.14210793,20384886.18745468,482000.0,1,1.0,0.0,0.06993656196812625,0.06993656196812625,1.0218020308776905
2018-01-13,20750000.0,21399000.0,19886000.0,21135000.0,30172.38452901,20414302.415397633,235000.0,1,1.0,0.0,0.018799710773680367,0.018799710773680367,1.0410116135261502
2018-01-14,21130000.0,21299000.0,18131000.0,19206000.0,30105.53009772,20366918.00695067,-4196000.0,0,1.0,0.0,-0.09127040454222857,-0.09127040454222857,0.9459980624264605
2018-01-15,19210000.0,20143000.0,18201000.0,19106000.0,29582.95249892,20317470.24197221,-8338000.0,0,0.0,-1.0,-0.0052067062376340845,-0.002,0.9441060663016075
2018-01-16,19107000.0,19219000.0,11543000.0,14279000.0,59293.11406178,20080667.487385068,-12645000.0,0,0.0,0.0,-0.2526431487490841,0.0,0.9441060663016075
2018-01-17,14279000.0,15722000.0,11901000.0,14951000.0,60203.17701055,19879504.056507226,-10908000.0,0,0.0,0.0,0.0470621191960221,0.0,0.9441060663016075
2018-01-18,14954000.0,16370000.0,13650000.0,14880000.0,44001.92022842,19683445.0738991,-10350000.0,0,0.0,0.0,-0.004748846231021342,0.0,0.9441060663016075
