symbol,short_period,long_period,total_return,cagr,sharpe_ratio,max_drawdown,win_rate,total_trades
BTC_KRW,1,5,54.696333238689746,5.719773112994364,0.3373398906079155,-72.9204028198867,37.812653261402644,2039
BTC_KRW,1,10,766.5203950530617,31.69052256622813,0.8903920585836823,-61.453293210417904,43.803056027164686,1767
BTC_KRW,1,15,2815.4511856933846,53.72015534602219,1.2982018116982734,-53.90673498025493,47.08680142687277,1682
BTC_KRW,1,20,3607.8528251811845,58.50485854524832,1.3674037953730456,-59.16523060604481,48.708708708708706,1665
BTC_KRW,1,25,2725.075169732656,53.10428070531095,1.2708645011041444,-59.10497696695053,48.83435582822086,1630
BTC_KRW,1,30,3283.8563573068,56.66789246149724,1.3312435024235387,-54.33560530820429,49.81296758104738,1604
BTC_KRW,1,40,4686.387313359922,63.74913322108209,1.4669465345574881,-46.55616056931069,51.00064557779213,1549
BTC_KRW,1,50,1765.5289284950343,45.21471269408348,1.1485975587586719,-57.07828380369697,51.034928848641655,1546
BTC_KRW,1,60,2766.0765966790927,53.385787057828196,1.285377588825423,-54.25549885692904,51.19798234552333,1586
BTC_KRW,1,75,2522.579665030616,51.659401632312395,1.2540596664105934,-56.66374189250617,51.661442006269596,1595
BTC_KRW,1,100,2964.5247219399125,54.700545095025646,1.3118210655507847,-53.11388989388035,51.24923826934796,1641
BTC_KRW,1,125,3630.306581022141,58.626906401372494,1.372893184474096,-48.20272114142139,51.69385194479298,1594
BTC_KRW,1,150,2261.7303730265335,49.64730186268746,1.2180818149490924,-55.39946173838821,51.754945756222085,1567
BTC_KRW,1,175,2014.2980052117568,47.55072419258934,1.1906020198075247,-54.13714570286703,51.543793320730934,1587
BTC_KRW,1,200,2104.147717244284,48.33567326918193,1.194678771579627,-55.2676622485198,51.42326732673267,1616
BTC_KRW,5,10,1338.235220926432,40.47794968398279,1.0575151804294793,-59.96651384833015,47.4169741697417,1626
BTC_KRW,5,15,2152.8049647396456,48.74917047846201,1.2035505736869667,-58.78863666587253,49.12935323383085,1608
BTC_KRW,5,20,2610.7298525865817,52.299941930056406,1.2622227471186673,-61.02062358275669,50.464396284829725,1615
BTC_KRW,5,25,2733.1668336364196,53.16011727395964,1.2699686631001479,-66.21796653045683,50.476190476190474,1575
BTC_KRW,5,30,2338.7677316504396,50.26093067954234,1.225446158639564,-55.38403972500795,50.865939704939066,1559
BTC_KRW,5,40,2869.3682658440284,54.07968868730173,1.2972774976480976,-52.33775018856559,51.70603674540683,1524
BTC_KRW,5,50,2966.2254357623447,54.71148769269798,1.310150043200531,-50.60757957911507,51.965923984272614,1526
BTC_KRW,5,60,3055.555688190297,55.27893699894606,1.321376748267573,-47.46373189542047,52.374756018217305,1537
BTC_KRW,5,75,3202.2578436012645,56.18111546021887,1.328311584466571,-51.87565782818848,52.641629535327816,1571
BTC_KRW,5,100,1770.9281400659868,45.26822539525488,1.1168394226121583,-55.418877157983026,51.817621688231675,1623
BTC_KRW,5,125,2315.450499997085,50.077007371548234,1.2011709879607908,-52.98682260797335,52.35997482693517,1589
BTC_KRW,5,150,1926.4710439397004,46.75479408653407,1.140872940295618,-61.04955539378888,52.2771007055805,1559
BTC_KRW,5,175,1227.160392369553,39.04585185003315,1.0153979204538317,-63.60661750319431,51.863550221099175,1583
BTC_KRW,5,200,1919.6153339987418,46.69140539590559,1.168003261295463,-50.889123225892085,52.01988812927284,1609
BTC_KRW,10,15,1284.052810806511,39.79190647379212,1.035206638971549,-56.28195582286432,48.58722358722359,1628
BTC_KRW,10,20,2355.433494907089,50.39145014415001,1.2289693257300414,-60.003186850443534,50.68407960199005,1608
BTC_KRW,10,25,1328.2366308774021,40.35306663782035,1.0470775822533638,-63.19978301048654,50.09463722397476,1585
BTC_KRW,10,30,2901.0277651426863,54.28815677927814,1.2962848973656074,-44.986478156307605,51.546391752577314,1552
BTC_KRW,10,40,2221.8858307499254,49.32304322006302,1.2099360520153224,-50.56543646252095,51.712992889463486,1547
BTC_KRW,10,50,2344.620761580817,50.306857640433655,1.2332203482815594,-46.55261195067977,51.91798941798942,1512
BTC_KRW,10,60,3136.4389439657552,55.780764406094875,1.3365101834444593,-44.9027748214671,52.40289664252798,1519
BTC_KRW,10,75,2320.53881022191,50.11727503420278,1.2299408715650553,-46.73743591164033,52.28589826142949,1553
BTC_KRW,10,100,1767.9608055164515,45.238832232243944,1.113100397817807,-51.29942239728403,52.36907730673317,1604
BTC_KRW,10,125,1664.2452096722184,44.18495609098867,1.0993989579911472,-53.322200472323104,52.3145212428662,1577
BTC_KRW,10,150,1584.2882386145525,43.33493059246738,1.0766119050671448,-60.4862712494048,52.25225225225225,1554
BTC_KRW,10,175,1029.2887875170961,36.213094501980024,0.9629133430714159,-64.38475532840758,51.847133757961785,1570
BTC_KRW,10,200,947.1803859407635,34.9085237715665,0.9352128824950218,-64.30660398188675,51.8266253869969,1615
BTC_KRW,15,20,1680.1665941919496,44.35019177899755,1.1290009495062396,-69.17569156015092,49.43609022556391,1596
BTC_KRW,15,25,703.7360384174661,30.433790931985193,0.8716803701856223,-71.04334562953619,49.58572339069471,1569
BTC_KRW,15,30,2773.051398006451,53.43332431800225,1.2926670224515604,-41.60096182195681,51.01781170483461,1572
BTC_KRW,15,40,2232.1356584872933,49.40691835934514,1.2161736297488195,-47.137321986037854,51.67310167310168,1554
BTC_KRW,15,50,1878.057330759978,46.303087068868145,1.1582148378366017,-55.271655715957856,51.59609120521173,1535
BTC_KRW,15,60,2312.803597567716,50.056031150019486,1.2411618852387691,-48.946320954765056,51.94976867151355,1513
