Strategy,Sharpe Ratio,CAGR (%),MDD (%),Total Return (%)
Close>(SMA30+31+32)/3,1.6970766693566361,79.89264395391832,-37.101072744472305,9907.151750984196
Close>SMA31 OR SMA39,1.6774622643876549,80.35047797392221,-40.37911649438799,10108.67451383256
Close>(SMA30*0.6+SMA31*0.4),1.6738084559045128,78.36972714533168,-37.25041359600922,9261.568835253887
Close>(SMA30*0.7+SMA31*0.3),1.6732598307395048,78.33249264051345,-37.25041359600922,9246.251004889156
Close>(SMA30*0.3+SMA31*0.7),1.6720275991195865,78.24421533989828,-37.101072744472305,9210.022131451204
Close>(SMA30*0.5+SMA31*0.5),1.6713250624654366,78.19917114710924,-37.25041359600916,9191.583319391044
Close>SMA30.5,1.6713250624654366,78.19917114710924,-37.25041359600916,9191.583319391044
Close>(SMA29+SMA31)/2,1.6665916838068555,77.78536676905297,-36.54882642900598,9023.678023271721
Close>(SMA38+SMA39)/2,1.6660451078067473,77.7761583901512,-45.772160228856244,9019.97194533882
Close>(SMA28+29+30)/3,1.6196187844932162,75.16348362097514,-38.75951886122876,8020.025553737645
Close>Weighted(0.4/0.3/0.3),1.6092457834788183,74.50151663628503,-41.9281898796129,7782.410869557996
Close>Weighted(0.35/0.35/0.3),1.6078559631740161,74.40656516393531,-41.9281898796129,7748.830349516935
Close>Weighted(0.3/0.4/0.3),1.6032727233285857,74.08712983328489,-42.75727499091646,7636.7734260209745
Close>WMA39,1.5911687285686764,73.55053906630515,-40.356037225726325,7451.678966937422
Close>WMA38,1.545181451219453,70.31629200979124,-40.568755171174885,6415.688074377968
Close>(EMA30+SMA30)/2,1.5368016507357531,69.35931670012539,-40.33274392587184,6133.979482831768
Close>WMA37,1.5191959474832315,68.77078715304923,-41.11686185766173,5966.060873961816
Close>(EMA31+SMA31)/2,1.4569338505013103,64.40210056213192,-45.122618863167254,4838.157479534602
Close>WMA32,1.4453866321163795,64.41507584636956,-49.079387134228554,4841.2153997507585
Close>WMA31,1.435057377084429,63.69318496902454,-51.17870334444166,4673.574573070858
Close>(WMA31+WMA39)/2,1.4314900281034286,63.338752459986345,-44.536525220670775,4593.098850095358
Close>EMA33,1.3924158430098852,62.261564930880084,-51.09434754537096,4355.737038080385
Close>EMA28,1.3760825475443197,61.15251499244363,-53.52930260308,4122.365265685161
Close>EMA32,1.371505276996466,61.001638459168774,-57.29667834847244,4091.456352003077
Close>EMA29,1.3552737678612543,59.98083672480672,-56.54458903637636,3887.469515509202
Close>WMA33,1.3425453024593497,57.65490962957212,-49.55513766898128,3454.7270767437262
